,j,R,RV
2020-11-30,-14.293670193239052,2.716654363796468,52170.46681313552
2020-11-27,-14.293670193239052,0.8210859007553138,51692.78356044915
2020-11-26,-14.293670193239052,0.6055973395340872,51638.4804430214
2020-11-25,-14.293670193239052,0.9795524689937894,51732.717135645245
2020-11-24,-14.293670193239052,0.6487095627140806,51649.34472326276
2020-11-23,-14.293670193239052,1.094552630035345,51761.69717622772
2020-11-20,-14.293670193239052,0.48182086525922835,51607.288771504136
2020-11-19,-14.293670193239052,0.8758217234921308,51706.576987778826
2020-11-18,-14.293670193239052,0.8465769941347645,51699.20731598078
2020-11-17,-14.293670193239052,0.7257509542308233,51668.75915392498
2020-11-16,-14.293670193239052,0.8693374270400456,51704.9429450729
2020-11-13,-14.293670193239052,1.3620529049176358,51829.10724549805
2020-11-12,-14.293670193239052,0.9070421228381417,51714.44452841402
2020-11-11,-14.293670193239052,1.0419701263990115,51748.446385311356
2020-11-10,-14.293670193239052,1.173127045497966,51781.4979289243
2020-11-09,-14.293670193239052,2.0194624336054106,51994.77444672737
2020-11-06,-14.293670193239052,1.3371028977724002,51822.819843697456
2020-11-05,-14.293670193239052,1.715774005335773,51918.24496280342
2020-11-04,-14.293670193239052,2.4830821941261165,52111.60662637859
2020-11-03,-14.293670193239052,1.0539223234741464,51751.4583389743
2020-11-02,-14.293670193239052,1.3119512955538983,51816.48163993839
2020-10-30,-14.293670193239052,1.4423978323187039,51849.35416720312
2020-10-29,-14.293670193239052,1.3374719414847078,51822.91284271296
2020-10-28,-14.293670193239052,1.0915805046584313,51760.94820063273
2020-10-27,-14.293670193239052,0.8924839490892509,51710.775868629295
2020-10-26,-14.293670193239052,1.7227646781413006,51920.006612350415
2020-10-23,-14.293670193239052,1.2188948868519949,51793.03142494551
2020-10-22,-14.293670193239052,1.1362429506787044,51772.20313702984
2020-10-21,-14.293670193239052,1.0008447903134055,51738.08280061779
2020-10-20,-14.293670193239052,0.7037894944165923,51663.22486605179
2020-10-19,-14.293670193239052,1.6357091428168957,51898.06861744867
2020-10-16,-14.293670193239052,1.2851508972689973,51809.7279395706
2020-10-15,-14.293670193239052,1.0181987643954717,51742.45600208647
2020-10-14,-14.293670193239052,0.6609575674780459,51652.43122046328
2020-10-13,-14.293670193239052,0.6853726521255294,51658.58382179444
2020-10-12,-14.293670193239052,1.0520996003935328,51750.99901275798
2020-10-09,-14.293670193239052,0.7731113464758242,51680.693972770714
2020-10-08,-14.293670193239052,0.46095307554537673,51602.03008849624
2020-10-07,-14.293670193239052,0.5745472183871175,51630.65581249236
2020-10-06,-14.293670193239052,0.7180689673847068,51666.82329323976
