,j,R,RV
2020-11-30,-11.252518066349136,0.46423970928403013,32025.017440785028
2020-11-27,-11.252518066349136,0.09326073292089548,31931.53073874152
2020-11-25,-11.252518066349136,0.20779570498292937,31960.39355170115
2020-11-24,-11.252518066349136,0.32098925338625806,31988.91832589879
2020-11-23,-11.252518066349136,0.4385296944067123,32018.538517035944
2020-11-20,-11.252518066349136,0.31666863187947986,31987.829529279083
2020-11-19,-11.252518066349136,0.4438384332910576,32019.8763192348
2020-11-18,-11.252518066349136,0.3954998396220047,32007.694993630197
2020-11-17,-11.252518066349136,0.3578879752837925,31998.216803816966
2020-11-16,-11.252518066349136,0.4057031181044702,32010.266219807778
2020-11-13,-11.252518066349136,0.387342152279847,32005.63925641997
2020-11-12,-11.252518066349136,0.745695619979234,32095.944330280217
2020-11-11,-11.252518066349136,0.37959091261115807,32003.685944023466
2020-11-10,-11.252518066349136,1.5481373575746913,32298.159648154277
2020-11-09,-11.252518066349136,1.9676560493850987,32403.878358490496
2020-11-06,-11.252518066349136,0.7748284612902557,32103.285806290598
2020-11-05,-11.252518066349136,0.692508584741401,32082.541197400285
2020-11-04,-11.252518066349136,1.7363137490128675,32345.580098796694
2020-11-03,-11.252518066349136,0.8071775170493617,32111.437768341893
2020-11-02,-11.252518066349136,1.230521412446848,32218.120429982057
2020-10-30,-11.252518066349136,2.434307464021084,32521.474514978763
2020-10-29,-11.252518066349136,1.484122270206458,32282.027846137484
2020-10-28,-11.252518066349136,1.5278725846817436,32293.052925385247
2020-10-27,-11.252518066349136,0.5794463822782489,32054.04952237957
2020-10-26,-11.252518066349136,0.9529589526130531,32148.174690103944
2020-10-23,-11.252518066349136,0.34690906019824214,31995.45011721541
2020-10-22,-11.252518066349136,0.64944552093801,32071.689305321834
2020-10-21,-11.252518066349136,0.807831285518257,32111.602517996052
2020-10-20,-11.252518066349136,0.9788221817484338,32154.692223846054
2020-10-19,-11.252518066349136,0.789397289652859,32106.957151037972
2020-10-16,-11.252518066349136,0.36227647137653474,31999.32270483234
2020-10-15,-11.252518066349136,0.5198245542783843,32039.024821723604
2020-10-14,-11.252518066349136,0.705194370755839,32085.738015475923
2020-10-13,-11.252518066349136,0.6153032701626326,32063.085458126436
2020-10-12,-11.252518066349136,0.25855856140279115,31973.185791518958
2020-10-09,-11.252518066349136,0.24654212717936544,31970.157650094654
2020-10-08,-11.252518066349136,0.29234178925721216,31981.69916493827
2020-10-07,-11.252518066349136,0.39470962635886886,32007.495859887887
2020-10-06,-11.252518066349136,1.504802162022603,32287.239178875152
2020-10-05,-11.252518066349136,0.2373476660590635,31967.84064589234
2020-10-02,-11.252518066349136,1.4648816505867543,32277.17920999331
2020-10-01,-11.252518066349136,0.9777030633072151,32154.41020599887
2020-09-29,-11.252518066349136,0.5488424037865615,32046.337319799666
2020-09-28,-11.252518066349136,0.5470582029354635,32045.887701185187
2020-09-25,-11.252518066349136,1.0321242961135813,32168.124356666074
2020-09-24,-11.252518066349136,2.059686727881684,32427.07008947164
2020-09-23,-11.252518066349136,1.3189131499232425,32240.39514782611
2020-09-22,-11.252518066349136,0.8060777436998748,32111.160625457822
2020-09-21,-11.252518066349136,1.7393728940869184,32346.351003355354
2020-09-18,-11.252518066349136,1.2098099138561886,32212.90113233721
2020-09-17,-11.252518066349136,1.3362177376597852,32244.755903935715
2020-09-16,-11.252518066349136,0.8165940526386898,32113.810735310402
2020-09-15,-11.252518066349136,0.35892357296297434,31998.47777443212
2020-09-14,-11.252518066349136,0.6502425317122182,32071.890152036933
2020-09-11,-11.252518066349136,1.8028022603172822,32362.335203645405
2020-09-10,-11.252518066349136,2.4553443235373043,32526.775803576857
2020-09-09,-11.252518066349136,0.7893081950911701,32106.934699208425
2020-09-08,-11.252518066349136,2.6125561840476834,32566.393192425465
2020-09-04,-11.252518066349136,4.394376029472356,33015.411793472485
2020-09-03,-11.252518066349136,3.258340809974834,32729.13091815911
2020-09-02,-11.252518066349136,0.4307412764069341,32016.575835699998
2020-09-01,-11.252518066349136,0.2611514310398875,31973.839194667504
2020-08-28,-11.252518066349136,0.25604472793854294,31972.552305485966
2020-08-27,-11.252518066349136,0.701278552475291,32084.751229269223
