date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,0,2020-01-24,0,0,1579824000000000000,0.0
2020-01-25 00:00:00+00:00,0,2020-01-25,0,0,1579910400000000000,0.0
2020-01-26 00:00:00+00:00,4,2020-01-26,0,0,1579996800000000000,4.0
2020-01-27 00:00:00+00:00,5,2020-01-27,0,0,1580083200000000000,1.0
2020-01-28 00:00:00+00:00,5,2020-01-28,0,0,1580169600000000000,0.0
2020-01-29 00:00:00+00:00,6,2020-01-29,0,0,1580256000000000000,1.0
2020-01-30 00:00:00+00:00,9,2020-01-30,0,2,1580342400000000000,3.0
2020-01-31 00:00:00+00:00,9,2020-01-31,0,2,1580428800000000000,0.0
2020-02-01 00:00:00+00:00,12,2020-02-01,0,2,1580515200000000000,3.0
2020-02-02 00:00:00+00:00,12,2020-02-02,0,2,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,12,2020-02-03,0,2,1580688000000000000,0.0
2020-02-04 00:00:00+00:00,13,2020-02-04,0,2,1580774400000000000,1.0
2020-02-05 00:00:00+00:00,13,2020-02-05,0,2,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,14,2020-02-06,0,2,1580947200000000000,1.0
2020-02-07 00:00:00+00:00,15,2020-02-07,0,2,1581033600000000000,1.0
2020-02-08 00:00:00+00:00,15,2020-02-08,0,2,1581120000000000000,0.0
2020-02-09 00:00:00+00:00,15,2020-02-09,0,2,1581206400000000000,0.0
2020-02-10 00:00:00+00:00,15,2020-02-10,0,2,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,15,2020-02-11,0,2,1581379200000000000,0.0
2020-02-12 00:00:00+00:00,15,2020-02-12,0,2,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,15,2020-02-13,0,8,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,15,2020-02-14,0,8,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,15,2020-02-15,0,8,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,15,2020-02-16,0,8,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,15,2020-02-17,0,10,1581897600000000000,0.0
2020-02-18 00:00:00+00:00,15,2020-02-18,0,10,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,15,2020-02-19,0,10,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,15,2020-02-20,0,10,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,15,2020-02-21,0,11,1582243200000000000,0.0
2020-02-22 00:00:00+00:00,15,2020-02-22,0,11,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,15,2020-02-23,0,11,1582416000000000000,0.0
2020-02-24 00:00:00+00:00,15,2020-02-24,0,11,1582502400000000000,0.0
2020-02-25 00:00:00+00:00,15,2020-02-25,0,11,1582588800000000000,0.0
2020-02-26 00:00:00+00:00,15,2020-02-26,0,11,1582675200000000000,0.0
2020-02-27 00:00:00+00:00,15,2020-02-27,0,11,1582761600000000000,0.0
2020-02-28 00:00:00+00:00,15,2020-02-28,0,11,1582848000000000000,0.0
2020-02-29 00:00:00+00:00,25,2020-02-29,0,11,1582934400000000000,10.0
2020-03-01 00:00:00+00:00,27,2020-03-01,1,11,1583020800000000000,2.0
2020-03-02 00:00:00+00:00,30,2020-03-02,1,11,1583107200000000000,3.0
2020-03-03 00:00:00+00:00,39,2020-03-03,1,11,1583193600000000000,9.0
2020-03-04 00:00:00+00:00,52,2020-03-04,2,11,1583280000000000000,13.0
2020-03-05 00:00:00+00:00,55,2020-03-05,2,21,1583366400000000000,3.0
2020-03-06 00:00:00+00:00,60,2020-03-06,2,21,1583452800000000000,5.0
2020-03-07 00:00:00+00:00,63,2020-03-07,2,21,1583539200000000000,3.0
2020-03-08 00:00:00+00:00,76,2020-03-08,3,21,1583625600000000000,13.0
2020-03-09 00:00:00+00:00,91,2020-03-09,3,21,1583712000000000000,15.0
2020-03-10 00:00:00+00:00,107,2020-03-10,3,21,1583798400000000000,16.0
2020-03-11 00:00:00+00:00,128,2020-03-11,3,21,1583884800000000000,21.0
2020-03-12 00:00:00+00:00,128,2020-03-12,3,21,1583971200000000000,0.0
2020-03-13 00:00:00+00:00,200,2020-03-13,3,23,1584057600000000000,72.0
2020-03-14 00:00:00+00:00,250,2020-03-14,3,23,1584144000000000000,50.0
2020-03-15 00:00:00+00:00,297,2020-03-15,3,23,1584230400000000000,47.0
2020-03-16 00:00:00+00:00,377,2020-03-16,3,23,1584316800000000000,80.0
2020-03-17 00:00:00+00:00,452,2020-03-17,5,23,1584403200000000000,75.0
2020-03-18 00:00:00+00:00,568,2020-03-18,6,23,1584489600000000000,116.0
2020-03-19 00:00:00+00:00,681,2020-03-19,6,26,1584576000000000000,113.0
2020-03-20 00:00:00+00:00,791,2020-03-20,7,26,1584662400000000000,110.0
2020-03-21 00:00:00+00:00,1071,2020-03-21,7,26,1584748800000000000,280.0
2020-03-22 00:00:00+00:00,1549,2020-03-22,7,88,1584835200000000000,478.0
2020-03-23 00:00:00+00:00,1682,2020-03-23,7,88,1584921600000000000,133.0
2020-03-24 00:00:00+00:00,2044,2020-03-24,8,115,1585008000000000000,362.0
2020-03-25 00:00:00+00:00,2364,2020-03-25,8,119,1585094400000000000,320.0
2020-03-26 00:00:00+00:00,2810,2020-03-26,13,172,1585180800000000000,446.0
2020-03-27 00:00:00+00:00,3143,2020-03-27,13,194,1585267200000000000,333.0
2020-03-28 00:00:00+00:00,3640,2020-03-28,14,244,1585353600000000000,497.0
2020-03-29 00:00:00+00:00,3984,2020-03-29,16,244,1585440000000000000,344.0
2020-03-30 00:00:00+00:00,4361,2020-03-30,17,257,1585526400000000000,377.0
2020-03-31 00:00:00+00:00,4559,2020-03-31,18,358,1585612800000000000,198.0
2020-04-01 00:00:00+00:00,4862,2020-04-01,20,422,1585699200000000000,303.0
2020-04-02 00:00:00+00:00,5116,2020-04-02,24,520,1585785600000000000,254.0
2020-04-03 00:00:00+00:00,5330,2020-04-03,28,649,1585872000000000000,214.0
2020-04-04 00:00:00+00:00,5550,2020-04-04,30,701,1585958400000000000,220.0
2020-04-05 00:00:00+00:00,5687,2020-04-05,35,757,1586044800000000000,137.0
2020-04-06 00:00:00+00:00,5797,2020-04-06,40,1080,1586131200000000000,110.0
2020-04-07 00:00:00+00:00,5895,2020-04-07,45,1080,1586217600000000000,98.0
2020-04-08 00:00:00+00:00,6010,2020-04-08,50,1080,1586304000000000000,115.0
2020-04-09 00:00:00+00:00,6108,2020-04-09,51,1472,1586390400000000000,98.0
2020-04-10 00:00:00+00:00,6215,2020-04-10,54,1793,1586476800000000000,107.0
2020-04-11 00:00:00+00:00,6303,2020-04-11,57,1806,1586563200000000000,88.0
2020-04-12 00:00:00+00:00,6315,2020-04-12,60,1806,1586649600000000000,12.0
2020-04-13 00:00:00+00:00,6351,2020-04-13,61,1806,1586736000000000000,36.0
2020-04-14 00:00:00+00:00,6415,2020-04-14,62,2186,1586822400000000000,64.0
2020-04-15 00:00:00+00:00,6440,2020-04-15,63,2186,1586908800000000000,25.0
2020-04-16 00:00:00+00:00,6462,2020-04-16,63,2355,1586995200000000000,22.0
2020-04-17 00:00:00+00:00,6522,2020-04-17,66,3808,1587081600000000000,60.0
2020-04-18 00:00:00+00:00,6568,2020-04-18,67,4124,1587168000000000000,46.0
2020-04-19 00:00:00+00:00,6610,2020-04-19,67,4124,1587254400000000000,42.0
