date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,548,2020-01-22,17,28,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,643,2020-01-23,18,30,1579737600000000000,95.0
2020-01-24 00:00:00+00:00,920,2020-01-24,26,36,1579824000000000000,277.0
2020-01-25 00:00:00+00:00,1406,2020-01-25,42,39,1579910400000000000,486.0
2020-01-26 00:00:00+00:00,2075,2020-01-26,56,49,1579996800000000000,669.0
2020-01-27 00:00:00+00:00,2877,2020-01-27,82,58,1580083200000000000,802.0
2020-01-28 00:00:00+00:00,5509,2020-01-28,131,101,1580169600000000000,2632.0
2020-01-29 00:00:00+00:00,6087,2020-01-29,133,120,1580256000000000000,578.0
2020-01-30 00:00:00+00:00,8141,2020-01-30,171,135,1580342400000000000,2054.0
2020-01-31 00:00:00+00:00,9802,2020-01-31,213,214,1580428800000000000,1661.0
2020-02-01 00:00:00+00:00,11891,2020-02-01,259,275,1580515200000000000,2089.0
2020-02-02 00:00:00+00:00,16630,2020-02-02,361,463,1580601600000000000,4739.0
2020-02-03 00:00:00+00:00,19716,2020-02-03,425,614,1580688000000000000,3086.0
2020-02-04 00:00:00+00:00,23707,2020-02-04,491,843,1580774400000000000,3991.0
2020-02-05 00:00:00+00:00,27440,2020-02-05,563,1115,1580860800000000000,3733.0
2020-02-06 00:00:00+00:00,30587,2020-02-06,633,1477,1580947200000000000,3147.0
2020-02-07 00:00:00+00:00,34110,2020-02-07,718,1999,1581033600000000000,3523.0
2020-02-08 00:00:00+00:00,36814,2020-02-08,805,2596,1581120000000000000,2704.0
2020-02-09 00:00:00+00:00,39829,2020-02-09,905,3219,1581206400000000000,3015.0
2020-02-10 00:00:00+00:00,42354,2020-02-10,1012,3918,1581292800000000000,2525.0
2020-02-11 00:00:00+00:00,44386,2020-02-11,1112,4636,1581379200000000000,2032.0
2020-02-12 00:00:00+00:00,44759,2020-02-12,1117,5082,1581465600000000000,373.0
2020-02-13 00:00:00+00:00,59895,2020-02-13,1369,6217,1581552000000000000,15136.0
2020-02-14 00:00:00+00:00,66358,2020-02-14,1521,7977,1581638400000000000,6463.0
2020-02-15 00:00:00+00:00,68413,2020-02-15,1663,9298,1581724800000000000,2055.0
2020-02-16 00:00:00+00:00,70513,2020-02-16,1766,10755,1581811200000000000,2100.0
2020-02-17 00:00:00+00:00,72434,2020-02-17,1864,12462,1581897600000000000,1921.0
2020-02-18 00:00:00+00:00,74211,2020-02-18,2003,14206,1581984000000000000,1777.0
2020-02-19 00:00:00+00:00,74619,2020-02-19,2116,15962,1582070400000000000,408.0
2020-02-20 00:00:00+00:00,75077,2020-02-20,2238,18014,1582156800000000000,458.0
2020-02-21 00:00:00+00:00,75550,2020-02-21,2238,18704,1582243200000000000,473.0
2020-02-22 00:00:00+00:00,77001,2020-02-22,2443,22699,1582329600000000000,1451.0
2020-02-23 00:00:00+00:00,77022,2020-02-23,2445,23187,1582416000000000000,21.0
2020-02-24 00:00:00+00:00,77241,2020-02-24,2595,25015,1582502400000000000,219.0
2020-02-25 00:00:00+00:00,77754,2020-02-25,2665,27676,1582588800000000000,513.0
2020-02-26 00:00:00+00:00,78166,2020-02-26,2717,30084,1582675200000000000,412.0
2020-02-27 00:00:00+00:00,78600,2020-02-27,2746,32930,1582761600000000000,434.0
2020-02-28 00:00:00+00:00,78928,2020-02-28,2790,36329,1582848000000000000,328.0
2020-02-29 00:00:00+00:00,79356,2020-02-29,2837,39320,1582934400000000000,428.0
2020-03-01 00:00:00+00:00,79932,2020-03-01,2872,42162,1583020800000000000,576.0
2020-03-02 00:00:00+00:00,80136,2020-03-02,2914,44854,1583107200000000000,204.0
2020-03-03 00:00:00+00:00,80261,2020-03-03,2947,47450,1583193600000000000,125.0
2020-03-04 00:00:00+00:00,80386,2020-03-04,2983,50001,1583280000000000000,125.0
2020-03-05 00:00:00+00:00,80537,2020-03-05,3015,52292,1583366400000000000,151.0
2020-03-06 00:00:00+00:00,80690,2020-03-06,3044,53944,1583452800000000000,153.0
2020-03-07 00:00:00+00:00,80770,2020-03-07,3072,55539,1583539200000000000,80.0
2020-03-08 00:00:00+00:00,80823,2020-03-08,3100,57388,1583625600000000000,53.0
2020-03-09 00:00:00+00:00,80860,2020-03-09,3123,58804,1583712000000000000,37.0
2020-03-10 00:00:00+00:00,80887,2020-03-10,3139,60181,1583798400000000000,27.0
2020-03-11 00:00:00+00:00,80921,2020-03-11,3161,61644,1583884800000000000,34.0
2020-03-12 00:00:00+00:00,80932,2020-03-12,3172,62901,1583971200000000000,11.0
2020-03-13 00:00:00+00:00,80945,2020-03-13,3180,64196,1584057600000000000,13.0
2020-03-14 00:00:00+00:00,80977,2020-03-14,3193,65660,1584144000000000000,32.0
2020-03-15 00:00:00+00:00,81003,2020-03-15,3203,67017,1584230400000000000,26.0
2020-03-16 00:00:00+00:00,81033,2020-03-16,3217,67910,1584316800000000000,30.0
2020-03-17 00:00:00+00:00,81058,2020-03-17,3230,68798,1584403200000000000,25.0
