date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,0,2020-01-24,0,0,1579824000000000000,0.0
2020-01-25 00:00:00+00:00,0,2020-01-25,0,0,1579910400000000000,0.0
2020-01-26 00:00:00+00:00,0,2020-01-26,0,0,1579996800000000000,0.0
2020-01-27 00:00:00+00:00,1,2020-01-27,0,0,1580083200000000000,1.0
2020-01-28 00:00:00+00:00,4,2020-01-28,0,0,1580169600000000000,3.0
2020-01-29 00:00:00+00:00,4,2020-01-29,0,0,1580256000000000000,0.0
2020-01-30 00:00:00+00:00,4,2020-01-30,0,0,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,5,2020-01-31,0,0,1580428800000000000,1.0
2020-02-01 00:00:00+00:00,8,2020-02-01,0,0,1580515200000000000,3.0
2020-02-02 00:00:00+00:00,10,2020-02-02,0,0,1580601600000000000,2.0
2020-02-03 00:00:00+00:00,12,2020-02-03,0,0,1580688000000000000,2.0
2020-02-04 00:00:00+00:00,12,2020-02-04,0,0,1580774400000000000,0.0
2020-02-05 00:00:00+00:00,12,2020-02-05,0,0,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,12,2020-02-06,0,0,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,13,2020-02-07,0,0,1581033600000000000,1.0
2020-02-08 00:00:00+00:00,13,2020-02-08,0,0,1581120000000000000,0.0
2020-02-09 00:00:00+00:00,14,2020-02-09,0,0,1581206400000000000,1.0
2020-02-10 00:00:00+00:00,14,2020-02-10,0,0,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,16,2020-02-11,0,0,1581379200000000000,2.0
2020-02-12 00:00:00+00:00,16,2020-02-12,0,0,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,16,2020-02-13,0,1,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,16,2020-02-14,0,1,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,16,2020-02-15,0,1,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,16,2020-02-16,0,1,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,16,2020-02-17,0,1,1581897600000000000,0.0
2020-02-18 00:00:00+00:00,16,2020-02-18,0,12,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,16,2020-02-19,0,12,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,16,2020-02-20,0,12,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,16,2020-02-21,0,14,1582243200000000000,0.0
2020-02-22 00:00:00+00:00,16,2020-02-22,0,14,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,16,2020-02-23,0,14,1582416000000000000,0.0
2020-02-24 00:00:00+00:00,16,2020-02-24,0,14,1582502400000000000,0.0
2020-02-25 00:00:00+00:00,17,2020-02-25,0,14,1582588800000000000,1.0
2020-02-26 00:00:00+00:00,27,2020-02-26,0,15,1582675200000000000,10.0
2020-02-27 00:00:00+00:00,46,2020-02-27,0,16,1582761600000000000,19.0
2020-02-28 00:00:00+00:00,48,2020-02-28,0,16,1582848000000000000,2.0
2020-02-29 00:00:00+00:00,79,2020-02-29,0,16,1582934400000000000,31.0
2020-03-01 00:00:00+00:00,130,2020-03-01,0,16,1583020800000000000,51.0
2020-03-02 00:00:00+00:00,159,2020-03-02,0,16,1583107200000000000,29.0
2020-03-03 00:00:00+00:00,196,2020-03-03,0,16,1583193600000000000,37.0
2020-03-04 00:00:00+00:00,262,2020-03-04,0,16,1583280000000000000,66.0
2020-03-05 00:00:00+00:00,482,2020-03-05,0,16,1583366400000000000,220.0
2020-03-06 00:00:00+00:00,670,2020-03-06,0,17,1583452800000000000,188.0
2020-03-07 00:00:00+00:00,799,2020-03-07,0,18,1583539200000000000,129.0
2020-03-08 00:00:00+00:00,1040,2020-03-08,0,18,1583625600000000000,241.0
2020-03-09 00:00:00+00:00,1176,2020-03-09,2,18,1583712000000000000,136.0
2020-03-10 00:00:00+00:00,1457,2020-03-10,2,18,1583798400000000000,281.0
2020-03-11 00:00:00+00:00,1908,2020-03-11,3,25,1583884800000000000,451.0
2020-03-12 00:00:00+00:00,2078,2020-03-12,3,25,1583971200000000000,170.0
2020-03-13 00:00:00+00:00,3675,2020-03-13,7,46,1584057600000000000,1597.0
2020-03-14 00:00:00+00:00,4585,2020-03-14,9,46,1584144000000000000,910.0
2020-03-15 00:00:00+00:00,5795,2020-03-15,11,46,1584230400000000000,1210.0
2020-03-16 00:00:00+00:00,7272,2020-03-16,17,67,1584316800000000000,1477.0
2020-03-17 00:00:00+00:00,9257,2020-03-17,24,67,1584403200000000000,1985.0
2020-03-18 00:00:00+00:00,12327,2020-03-18,28,105,1584489600000000000,3070.0
2020-03-19 00:00:00+00:00,15320,2020-03-19,44,113,1584576000000000000,2993.0
2020-03-20 00:00:00+00:00,19848,2020-03-20,67,180,1584662400000000000,4528.0
2020-03-21 00:00:00+00:00,22213,2020-03-21,84,233,1584748800000000000,2365.0
2020-03-22 00:00:00+00:00,24873,2020-03-22,94,266,1584835200000000000,2660.0
2020-03-23 00:00:00+00:00,29056,2020-03-23,123,266,1584921600000000000,4183.0
2020-03-24 00:00:00+00:00,32986,2020-03-24,157,3243,1585008000000000000,3930.0
2020-03-25 00:00:00+00:00,37323,2020-03-25,206,3547,1585094400000000000,4337.0
2020-03-26 00:00:00+00:00,43938,2020-03-26,267,5673,1585180800000000000,6615.0
2020-03-27 00:00:00+00:00,50871,2020-03-27,342,6658,1585267200000000000,6933.0
2020-03-28 00:00:00+00:00,57695,2020-03-28,433,8481,1585353600000000000,6824.0
2020-03-29 00:00:00+00:00,62095,2020-03-29,533,9211,1585440000000000000,4400.0
2020-03-30 00:00:00+00:00,66885,2020-03-30,645,13500,1585526400000000000,4790.0
2020-03-31 00:00:00+00:00,71808,2020-03-31,775,16100,1585612800000000000,4923.0
2020-04-01 00:00:00+00:00,77872,2020-04-01,920,18700,1585699200000000000,6064.0
2020-04-02 00:00:00+00:00,84794,2020-04-02,1107,22440,1585785600000000000,6922.0
2020-04-03 00:00:00+00:00,91159,2020-04-03,1275,24575,1585872000000000000,6365.0
2020-04-04 00:00:00+00:00,96092,2020-04-04,1444,26400,1585958400000000000,4933.0
2020-04-05 00:00:00+00:00,100123,2020-04-05,1584,28700,1586044800000000000,4031.0
2020-04-06 00:00:00+00:00,103374,2020-04-06,1810,28700,1586131200000000000,3251.0
2020-04-07 00:00:00+00:00,107663,2020-04-07,2016,36081,1586217600000000000,4289.0
2020-04-08 00:00:00+00:00,113296,2020-04-08,2349,46300,1586304000000000000,5633.0
2020-04-09 00:00:00+00:00,118181,2020-04-09,2607,52407,1586390400000000000,4885.0
2020-04-10 00:00:00+00:00,122171,2020-04-10,2767,53913,1586476800000000000,3990.0
2020-04-11 00:00:00+00:00,124908,2020-04-11,2736,57400,1586563200000000000,2737.0
2020-04-12 00:00:00+00:00,127854,2020-04-12,3022,60300,1586649600000000000,2946.0
2020-04-13 00:00:00+00:00,130072,2020-04-13,3194,64300,1586736000000000000,2218.0
2020-04-14 00:00:00+00:00,131359,2020-04-14,3294,68200,1586822400000000000,1287.0
2020-04-15 00:00:00+00:00,134753,2020-04-15,3804,72600,1586908800000000000,3394.0
2020-04-16 00:00:00+00:00,137698,2020-04-16,4052,77000,1586995200000000000,2945.0
2020-04-17 00:00:00+00:00,141397,2020-04-17,4352,83114,1587081600000000000,3699.0
