date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,0,2020-01-24,0,0,1579824000000000000,0.0
2020-01-25 00:00:00+00:00,0,2020-01-25,0,0,1579910400000000000,0.0
2020-01-26 00:00:00+00:00,0,2020-01-26,0,0,1579996800000000000,0.0
2020-01-27 00:00:00+00:00,0,2020-01-27,0,0,1580083200000000000,0.0
2020-01-28 00:00:00+00:00,0,2020-01-28,0,0,1580169600000000000,0.0
2020-01-29 00:00:00+00:00,0,2020-01-29,0,0,1580256000000000000,0.0
2020-01-30 00:00:00+00:00,0,2020-01-30,0,0,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,0,2020-01-31,0,0,1580428800000000000,0.0
2020-02-01 00:00:00+00:00,1,2020-02-01,0,0,1580515200000000000,1.0
2020-02-02 00:00:00+00:00,1,2020-02-02,0,0,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,1,2020-02-03,0,0,1580688000000000000,0.0
2020-02-04 00:00:00+00:00,1,2020-02-04,0,0,1580774400000000000,0.0
2020-02-05 00:00:00+00:00,1,2020-02-05,0,0,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,1,2020-02-06,0,0,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,1,2020-02-07,0,0,1581033600000000000,0.0
2020-02-08 00:00:00+00:00,1,2020-02-08,0,0,1581120000000000000,0.0
2020-02-09 00:00:00+00:00,2,2020-02-09,0,0,1581206400000000000,1.0
2020-02-10 00:00:00+00:00,2,2020-02-10,0,0,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,2,2020-02-11,0,0,1581379200000000000,0.0
2020-02-12 00:00:00+00:00,2,2020-02-12,0,0,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,2,2020-02-13,0,0,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,2,2020-02-14,0,0,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,2,2020-02-15,0,2,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,2,2020-02-16,0,2,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,2,2020-02-17,0,2,1581897600000000000,0.0
2020-02-18 00:00:00+00:00,2,2020-02-18,0,2,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,2,2020-02-19,0,2,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,2,2020-02-20,0,2,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,2,2020-02-21,0,2,1582243200000000000,0.0
2020-02-22 00:00:00+00:00,2,2020-02-22,0,2,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,2,2020-02-23,0,2,1582416000000000000,0.0
2020-02-24 00:00:00+00:00,2,2020-02-24,0,2,1582502400000000000,0.0
2020-02-25 00:00:00+00:00,6,2020-02-25,0,2,1582588800000000000,4.0
2020-02-26 00:00:00+00:00,13,2020-02-26,0,2,1582675200000000000,7.0
2020-02-27 00:00:00+00:00,15,2020-02-27,0,2,1582761600000000000,2.0
2020-02-28 00:00:00+00:00,32,2020-02-28,0,2,1582848000000000000,17.0
2020-02-29 00:00:00+00:00,45,2020-02-29,0,2,1582934400000000000,13.0
2020-03-01 00:00:00+00:00,84,2020-03-01,0,2,1583020800000000000,39.0
2020-03-02 00:00:00+00:00,120,2020-03-02,0,2,1583107200000000000,36.0
2020-03-03 00:00:00+00:00,165,2020-03-03,1,2,1583193600000000000,45.0
2020-03-04 00:00:00+00:00,222,2020-03-04,2,2,1583280000000000000,57.0
2020-03-05 00:00:00+00:00,259,2020-03-05,3,2,1583366400000000000,37.0
2020-03-06 00:00:00+00:00,400,2020-03-06,5,2,1583452800000000000,141.0
2020-03-07 00:00:00+00:00,500,2020-03-07,10,30,1583539200000000000,100.0
2020-03-08 00:00:00+00:00,673,2020-03-08,17,30,1583625600000000000,173.0
2020-03-09 00:00:00+00:00,1073,2020-03-09,28,32,1583712000000000000,400.0
2020-03-10 00:00:00+00:00,1695,2020-03-10,35,32,1583798400000000000,622.0
2020-03-11 00:00:00+00:00,2277,2020-03-11,54,183,1583884800000000000,582.0
2020-03-12 00:00:00+00:00,2277,2020-03-12,55,183,1583971200000000000,0.0
2020-03-13 00:00:00+00:00,5232,2020-03-13,133,193,1584057600000000000,2955.0
2020-03-14 00:00:00+00:00,6391,2020-03-14,195,517,1584144000000000000,1159.0
2020-03-15 00:00:00+00:00,7798,2020-03-15,289,517,1584230400000000000,1407.0
2020-03-16 00:00:00+00:00,9942,2020-03-16,342,530,1584316800000000000,2144.0
2020-03-17 00:00:00+00:00,11748,2020-03-17,533,1028,1584403200000000000,1806.0
2020-03-18 00:00:00+00:00,13910,2020-03-18,623,1081,1584489600000000000,2162.0
2020-03-19 00:00:00+00:00,17963,2020-03-19,830,1107,1584576000000000000,4053.0
2020-03-20 00:00:00+00:00,20410,2020-03-20,1043,1588,1584662400000000000,2447.0
2020-03-21 00:00:00+00:00,25374,2020-03-21,1375,2125,1584748800000000000,4964.0
2020-03-22 00:00:00+00:00,28768,2020-03-22,1772,2575,1584835200000000000,3394.0
2020-03-23 00:00:00+00:00,35136,2020-03-23,2311,2575,1584921600000000000,6368.0
2020-03-24 00:00:00+00:00,39885,2020-03-24,2808,3794,1585008000000000000,4749.0
2020-03-25 00:00:00+00:00,49515,2020-03-25,3647,5367,1585094400000000000,9630.0
2020-03-26 00:00:00+00:00,57786,2020-03-26,4365,7015,1585180800000000000,8271.0
2020-03-27 00:00:00+00:00,65719,2020-03-27,5138,9357,1585267200000000000,7933.0
2020-03-28 00:00:00+00:00,73235,2020-03-28,5982,12285,1585353600000000000,7516.0
2020-03-29 00:00:00+00:00,80110,2020-03-29,6803,14709,1585440000000000000,6875.0
2020-03-30 00:00:00+00:00,87956,2020-03-30,7716,16780,1585526400000000000,7846.0
2020-03-31 00:00:00+00:00,95923,2020-03-31,8464,19259,1585612800000000000,7967.0
2020-04-01 00:00:00+00:00,104118,2020-04-01,9387,22647,1585699200000000000,8195.0
2020-04-02 00:00:00+00:00,112065,2020-04-02,10348,26743,1585785600000000000,7947.0
2020-04-03 00:00:00+00:00,119199,2020-04-03,11198,30513,1585872000000000000,7134.0
2020-04-04 00:00:00+00:00,126168,2020-04-04,11947,34219,1585958400000000000,6969.0
2020-04-05 00:00:00+00:00,131646,2020-04-05,12641,38080,1586044800000000000,5478.0
2020-04-06 00:00:00+00:00,136675,2020-04-06,13341,40437,1586131200000000000,5029.0
2020-04-07 00:00:00+00:00,141942,2020-04-07,14045,43208,1586217600000000000,5267.0
2020-04-08 00:00:00+00:00,148220,2020-04-08,14792,48021,1586304000000000000,6278.0
2020-04-09 00:00:00+00:00,153222,2020-04-09,15447,52165,1586390400000000000,5002.0
2020-04-10 00:00:00+00:00,158273,2020-04-10,16081,55668,1586476800000000000,5051.0
2020-04-11 00:00:00+00:00,163027,2020-04-11,16606,59109,1586563200000000000,4754.0
2020-04-12 00:00:00+00:00,166831,2020-04-12,17209,62391,1586649600000000000,3804.0
2020-04-13 00:00:00+00:00,170099,2020-04-13,17756,64727,1586736000000000000,3268.0
2020-04-14 00:00:00+00:00,172541,2020-04-14,18056,67504,1586822400000000000,2442.0
2020-04-15 00:00:00+00:00,177644,2020-04-15,18708,70853,1586908800000000000,5103.0
2020-04-16 00:00:00+00:00,184948,2020-04-16,19315,74797,1586995200000000000,7304.0
2020-04-17 00:00:00+00:00,190839,2020-04-17,20002,74797,1587081600000000000,5891.0
