date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,2,2020-01-24,0,0,1579824000000000000,2.0
2020-01-25 00:00:00+00:00,3,2020-01-25,0,0,1579910400000000000,1.0
2020-01-26 00:00:00+00:00,3,2020-01-26,0,0,1579996800000000000,0.0
2020-01-27 00:00:00+00:00,3,2020-01-27,0,0,1580083200000000000,0.0
2020-01-28 00:00:00+00:00,4,2020-01-28,0,0,1580169600000000000,1.0
2020-01-29 00:00:00+00:00,5,2020-01-29,0,0,1580256000000000000,1.0
2020-01-30 00:00:00+00:00,5,2020-01-30,0,0,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,5,2020-01-31,0,0,1580428800000000000,0.0
2020-02-01 00:00:00+00:00,6,2020-02-01,0,0,1580515200000000000,1.0
2020-02-02 00:00:00+00:00,6,2020-02-02,0,0,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,6,2020-02-03,0,0,1580688000000000000,0.0
2020-02-04 00:00:00+00:00,6,2020-02-04,0,0,1580774400000000000,0.0
2020-02-05 00:00:00+00:00,6,2020-02-05,0,0,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,6,2020-02-06,0,0,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,6,2020-02-07,0,0,1581033600000000000,0.0
2020-02-08 00:00:00+00:00,11,2020-02-08,0,0,1581120000000000000,5.0
2020-02-09 00:00:00+00:00,11,2020-02-09,0,0,1581206400000000000,0.0
2020-02-10 00:00:00+00:00,11,2020-02-10,0,0,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,11,2020-02-11,0,0,1581379200000000000,0.0
2020-02-12 00:00:00+00:00,11,2020-02-12,0,2,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,11,2020-02-13,0,2,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,11,2020-02-14,0,2,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,12,2020-02-15,1,4,1581724800000000000,1.0
2020-02-16 00:00:00+00:00,12,2020-02-16,1,4,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,12,2020-02-17,1,4,1581897600000000000,0.0
2020-02-18 00:00:00+00:00,12,2020-02-18,1,4,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,12,2020-02-19,1,4,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,12,2020-02-20,1,4,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,12,2020-02-21,1,4,1582243200000000000,0.0
2020-02-22 00:00:00+00:00,12,2020-02-22,1,4,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,12,2020-02-23,1,4,1582416000000000000,0.0
2020-02-24 00:00:00+00:00,12,2020-02-24,1,4,1582502400000000000,0.0
2020-02-25 00:00:00+00:00,14,2020-02-25,1,11,1582588800000000000,2.0
2020-02-26 00:00:00+00:00,18,2020-02-26,2,11,1582675200000000000,4.0
2020-02-27 00:00:00+00:00,38,2020-02-27,2,11,1582761600000000000,20.0
2020-02-28 00:00:00+00:00,57,2020-02-28,2,11,1582848000000000000,19.0
2020-02-29 00:00:00+00:00,100,2020-02-29,2,12,1582934400000000000,43.0
2020-03-01 00:00:00+00:00,130,2020-03-01,2,12,1583020800000000000,30.0
2020-03-02 00:00:00+00:00,191,2020-03-02,3,12,1583107200000000000,61.0
2020-03-03 00:00:00+00:00,212,2020-03-03,4,12,1583193600000000000,21.0
2020-03-04 00:00:00+00:00,288,2020-03-04,4,12,1583280000000000000,76.0
2020-03-05 00:00:00+00:00,426,2020-03-05,7,12,1583366400000000000,138.0
2020-03-06 00:00:00+00:00,616,2020-03-06,9,12,1583452800000000000,190.0
2020-03-07 00:00:00+00:00,948,2020-03-07,16,12,1583539200000000000,332.0
2020-03-08 00:00:00+00:00,1125,2020-03-08,19,12,1583625600000000000,177.0
2020-03-09 00:00:00+00:00,1411,2020-03-09,25,12,1583712000000000000,286.0
2020-03-10 00:00:00+00:00,1783,2020-03-10,33,12,1583798400000000000,372.0
2020-03-11 00:00:00+00:00,2293,2020-03-11,48,12,1583884800000000000,510.0
2020-03-12 00:00:00+00:00,2293,2020-03-12,48,12,1583971200000000000,0.0
2020-03-13 00:00:00+00:00,3681,2020-03-13,79,12,1584057600000000000,1388.0
2020-03-14 00:00:00+00:00,4496,2020-03-14,91,12,1584144000000000000,815.0
2020-03-15 00:00:00+00:00,4532,2020-03-15,91,12,1584230400000000000,36.0
2020-03-16 00:00:00+00:00,6683,2020-03-16,149,12,1584316800000000000,2151.0
2020-03-17 00:00:00+00:00,7715,2020-03-17,149,12,1584403200000000000,1032.0
2020-03-18 00:00:00+00:00,9124,2020-03-18,149,12,1584489600000000000,1409.0
2020-03-19 00:00:00+00:00,10970,2020-03-19,244,12,1584576000000000000,1846.0
2020-03-20 00:00:00+00:00,12758,2020-03-20,451,12,1584662400000000000,1788.0
2020-03-21 00:00:00+00:00,14463,2020-03-21,563,12,1584748800000000000,1705.0
2020-03-22 00:00:00+00:00,16758,2020-03-22,676,2206,1584835200000000000,2295.0
2020-03-23 00:00:00+00:00,20123,2020-03-23,862,2206,1584921600000000000,3365.0
2020-03-24 00:00:00+00:00,22372,2020-03-24,1102,3250,1585008000000000000,2249.0
2020-03-25 00:00:00+00:00,25334,2020-03-25,1333,3907,1585094400000000000,2962.0
2020-03-26 00:00:00+00:00,29252,2020-03-26,1697,4955,1585180800000000000,3918.0
2020-03-27 00:00:00+00:00,33047,2020-03-27,1996,5707,1585267200000000000,3795.0
2020-03-28 00:00:00+00:00,37692,2020-03-28,2314,5724,1585353600000000000,4645.0
2020-03-29 00:00:00+00:00,40295,2020-03-29,2608,7226,1585440000000000000,2603.0
2020-03-30 00:00:00+00:00,44649,2020-03-30,3026,7964,1585526400000000000,4354.0
2020-03-31 00:00:00+00:00,52278,2020-03-31,3526,9513,1585612800000000000,7629.0
2020-04-01 00:00:00+00:00,57122,2020-04-01,4778,11053,1585699200000000000,4844.0
2020-04-02 00:00:00+00:00,59228,2020-04-02,5387,12548,1585785600000000000,2106.0
2020-04-03 00:00:00+00:00,64452,2020-04-03,6509,14135,1585872000000000000,5224.0
2020-04-04 00:00:00+00:00,47378,2020-04-04,7562,15572,1585958400000000000,-17074.0
2020-04-05 00:00:00+00:00,48233,2020-04-05,8081,16349,1586044800000000000,855.0
2020-04-06 00:00:00+00:00,50887,2020-04-06,8914,17428,1586131200000000000,2654.0
2020-04-07 00:00:00+00:00,47396,2020-04-07,10330,19523,1586217600000000000,-3491.0
2020-04-08 00:00:00+00:00,51251,2020-04-08,10874,21452,1586304000000000000,3855.0
2020-04-09 00:00:00+00:00,55035,2020-04-09,12214,23413,1586390400000000000,3784.0
2020-04-10 00:00:00+00:00,56600,2020-04-10,13199,25195,1586476800000000000,1565.0
2020-04-11 00:00:00+00:00,58045,2020-04-11,13835,26663,1586563200000000000,1445.0
2020-04-12 00:00:00+00:00,108791,2020-04-12,14396,27469,1586649600000000000,50746.0
2020-04-13 00:00:00+00:00,111932,2020-04-13,14969,28001,1586736000000000000,3141.0
2020-04-14 00:00:00+00:00,129380,2020-04-14,15712,28805,1586822400000000000,17448.0
2020-04-15 00:00:00+00:00,132588,2020-04-15,17150,30955,1586908800000000000,3208.0
2020-04-16 00:00:00+00:00,145166,2020-04-16,17903,32812,1586995200000000000,12578.0
2020-04-17 00:00:00+00:00,147057,2020-04-17,18664,34420,1587081600000000000,1891.0
