date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,0,2020-01-24,0,0,1579824000000000000,0.0
2020-01-25 00:00:00+00:00,0,2020-01-25,0,0,1579910400000000000,0.0
2020-01-26 00:00:00+00:00,0,2020-01-26,0,0,1579996800000000000,0.0
2020-01-27 00:00:00+00:00,0,2020-01-27,0,0,1580083200000000000,0.0
2020-01-28 00:00:00+00:00,0,2020-01-28,0,0,1580169600000000000,0.0
2020-01-29 00:00:00+00:00,0,2020-01-29,0,0,1580256000000000000,0.0
2020-01-30 00:00:00+00:00,0,2020-01-30,0,0,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,2,2020-01-31,0,0,1580428800000000000,2.0
2020-02-01 00:00:00+00:00,2,2020-02-01,0,0,1580515200000000000,0.0
2020-02-02 00:00:00+00:00,2,2020-02-02,0,0,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,8,2020-02-03,0,0,1580688000000000000,6.0
2020-02-04 00:00:00+00:00,8,2020-02-04,0,0,1580774400000000000,0.0
2020-02-05 00:00:00+00:00,9,2020-02-05,0,0,1580860800000000000,1.0
2020-02-06 00:00:00+00:00,9,2020-02-06,0,0,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,9,2020-02-07,0,0,1581033600000000000,0.0
2020-02-08 00:00:00+00:00,13,2020-02-08,0,0,1581120000000000000,4.0
2020-02-09 00:00:00+00:00,14,2020-02-09,0,0,1581206400000000000,1.0
2020-02-10 00:00:00+00:00,14,2020-02-10,0,0,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,15,2020-02-11,0,0,1581379200000000000,1.0
2020-02-12 00:00:00+00:00,16,2020-02-12,0,1,1581465600000000000,1.0
2020-02-13 00:00:00+00:00,17,2020-02-13,0,1,1581552000000000000,1.0
2020-02-14 00:00:00+00:00,18,2020-02-14,0,1,1581638400000000000,1.0
2020-02-15 00:00:00+00:00,18,2020-02-15,0,1,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,18,2020-02-16,0,8,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,19,2020-02-17,0,8,1581897600000000000,1.0
2020-02-18 00:00:00+00:00,19,2020-02-18,0,8,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,20,2020-02-19,0,8,1582070400000000000,1.0
2020-02-20 00:00:00+00:00,22,2020-02-20,0,8,1582156800000000000,2.0
2020-02-21 00:00:00+00:00,23,2020-02-21,0,8,1582243200000000000,1.0
2020-02-22 00:00:00+00:00,23,2020-02-22,0,8,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,28,2020-02-23,0,8,1582416000000000000,5.0
2020-02-24 00:00:00+00:00,30,2020-02-24,0,8,1582502400000000000,2.0
2020-02-25 00:00:00+00:00,34,2020-02-25,0,8,1582588800000000000,4.0
2020-02-26 00:00:00+00:00,37,2020-02-26,0,8,1582675200000000000,3.0
2020-02-27 00:00:00+00:00,44,2020-02-27,0,8,1582761600000000000,7.0
2020-02-28 00:00:00+00:00,56,2020-02-28,0,8,1582848000000000000,12.0
2020-02-29 00:00:00+00:00,61,2020-02-29,0,8,1582934400000000000,5.0
2020-03-01 00:00:00+00:00,94,2020-03-01,0,8,1583020800000000000,33.0
2020-03-02 00:00:00+00:00,134,2020-03-02,0,8,1583107200000000000,40.0
2020-03-03 00:00:00+00:00,189,2020-03-03,0,8,1583193600000000000,55.0
2020-03-04 00:00:00+00:00,246,2020-03-04,0,8,1583280000000000000,57.0
2020-03-05 00:00:00+00:00,295,2020-03-05,0,8,1583366400000000000,49.0
2020-03-06 00:00:00+00:00,374,2020-03-06,1,8,1583452800000000000,79.0
2020-03-07 00:00:00+00:00,429,2020-03-07,2,18,1583539200000000000,55.0
2020-03-08 00:00:00+00:00,483,2020-03-08,2,18,1583625600000000000,54.0
2020-03-09 00:00:00+00:00,630,2020-03-09,3,18,1583712000000000000,147.0
2020-03-10 00:00:00+00:00,889,2020-03-10,7,19,1583798400000000000,259.0
2020-03-11 00:00:00+00:00,1301,2020-03-11,7,19,1583884800000000000,412.0
2020-03-12 00:00:00+00:00,1790,2020-03-12,9,19,1583971200000000000,489.0
2020-03-13 00:00:00+00:00,2270,2020-03-13,10,19,1584057600000000000,480.0
2020-03-14 00:00:00+00:00,2634,2020-03-14,29,19,1584144000000000000,364.0
2020-03-15 00:00:00+00:00,3077,2020-03-15,43,19,1584230400000000000,443.0
2020-03-16 00:00:00+00:00,3692,2020-03-16,66,21,1584316800000000000,615.0
2020-03-17 00:00:00+00:00,4462,2020-03-17,83,53,1584403200000000000,770.0
2020-03-18 00:00:00+00:00,5467,2020-03-18,117,67,1584489600000000000,1005.0
2020-03-19 00:00:00+00:00,6533,2020-03-19,163,67,1584576000000000000,1066.0
2020-03-20 00:00:00+00:00,7791,2020-03-20,195,67,1584662400000000000,1258.0
2020-03-21 00:00:00+00:00,9006,2020-03-21,253,67,1584748800000000000,1215.0
2020-03-22 00:00:00+00:00,10395,2020-03-22,289,67,1584835200000000000,1389.0
2020-03-23 00:00:00+00:00,12744,2020-03-23,365,67,1584921600000000000,2349.0
2020-03-24 00:00:00+00:00,15126,2020-03-24,513,140,1585008000000000000,2382.0
2020-03-25 00:00:00+00:00,17843,2020-03-25,704,140,1585094400000000000,2717.0
2020-03-26 00:00:00+00:00,20970,2020-03-26,886,150,1585180800000000000,3127.0
2020-03-27 00:00:00+00:00,24219,2020-03-27,1174,151,1585267200000000000,3249.0
2020-03-28 00:00:00+00:00,27062,2020-03-28,1466,151,1585353600000000000,2843.0
2020-03-29 00:00:00+00:00,29954,2020-03-29,1679,151,1585440000000000000,2892.0
2020-03-30 00:00:00+00:00,34281,2020-03-30,2053,171,1585526400000000000,4327.0
2020-03-31 00:00:00+00:00,38815,2020-03-31,2457,179,1585612800000000000,4534.0
2020-04-01 00:00:00+00:00,43789,2020-04-01,3130,179,1585699200000000000,4974.0
2020-04-02 00:00:00+00:00,48718,2020-04-02,3787,192,1585785600000000000,4929.0
2020-04-03 00:00:00+00:00,53699,2020-04-03,4524,208,1585872000000000000,4981.0
2020-04-04 00:00:00+00:00,57772,2020-04-04,5281,215,1585958400000000000,4073.0
2020-04-05 00:00:00+00:00,61422,2020-04-05,5882,229,1586044800000000000,3650.0
2020-04-06 00:00:00+00:00,66738,2020-04-06,6452,287,1586131200000000000,5316.0
2020-04-07 00:00:00+00:00,72224,2020-04-07,7557,325,1586217600000000000,5486.0
2020-04-08 00:00:00+00:00,77387,2020-04-08,8589,345,1586304000000000000,5163.0
2020-04-09 00:00:00+00:00,82293,2020-04-09,9706,359,1586390400000000000,4906.0
2020-04-10 00:00:00+00:00,86660,2020-04-10,10829,588,1586476800000000000,4367.0
2020-04-11 00:00:00+00:00,90273,2020-04-11,11673,622,1586563200000000000,3613.0
2020-04-12 00:00:00+00:00,93812,2020-04-12,12330,626,1586649600000000000,3539.0
2020-04-13 00:00:00+00:00,98017,2020-04-13,13055,304,1586736000000000000,4205.0
2020-04-14 00:00:00+00:00,102365,2020-04-14,14135,323,1586822400000000000,4348.0
2020-04-15 00:00:00+00:00,107465,2020-04-15,15019,368,1586908800000000000,5100.0
2020-04-16 00:00:00+00:00,112808,2020-04-16,16059,375,1586995200000000000,5343.0
2020-04-17 00:00:00+00:00,117798,2020-04-17,16973,394,1587081600000000000,4990.0
2020-04-18 00:00:00+00:00,122534,2020-04-18,18081,414,1587168000000000000,4736.0
