date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,0,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,0,2020-01-23,0,0,1579737600000000000,0.0
2020-01-24 00:00:00+00:00,0,2020-01-24,0,0,1579824000000000000,0.0
2020-01-25 00:00:00+00:00,0,2020-01-25,0,0,1579910400000000000,0.0
2020-01-26 00:00:00+00:00,0,2020-01-26,0,0,1579996800000000000,0.0
2020-01-27 00:00:00+00:00,0,2020-01-27,0,0,1580083200000000000,0.0
2020-01-28 00:00:00+00:00,0,2020-01-28,0,0,1580169600000000000,0.0
2020-01-29 00:00:00+00:00,0,2020-01-29,0,0,1580256000000000000,0.0
2020-01-30 00:00:00+00:00,0,2020-01-30,0,0,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,2,2020-01-31,0,0,1580428800000000000,2.0
2020-02-01 00:00:00+00:00,2,2020-02-01,0,0,1580515200000000000,0.0
2020-02-02 00:00:00+00:00,2,2020-02-02,0,0,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,2,2020-02-03,0,0,1580688000000000000,0.0
2020-02-04 00:00:00+00:00,2,2020-02-04,0,0,1580774400000000000,0.0
2020-02-05 00:00:00+00:00,2,2020-02-05,0,0,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,2,2020-02-06,0,0,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,3,2020-02-07,0,0,1581033600000000000,1.0
2020-02-08 00:00:00+00:00,3,2020-02-08,0,0,1581120000000000000,0.0
2020-02-09 00:00:00+00:00,3,2020-02-09,0,0,1581206400000000000,0.0
2020-02-10 00:00:00+00:00,3,2020-02-10,0,0,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,3,2020-02-11,0,0,1581379200000000000,0.0
2020-02-12 00:00:00+00:00,3,2020-02-12,0,0,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,3,2020-02-13,0,0,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,3,2020-02-14,0,0,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,3,2020-02-15,0,0,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,3,2020-02-16,0,0,1581811200000000000,0.0
2020-02-17 00:00:00+00:00,3,2020-02-17,0,0,1581897600000000000,0.0
2020-02-18 00:00:00+00:00,3,2020-02-18,0,0,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,3,2020-02-19,0,0,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,3,2020-02-20,0,0,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,20,2020-02-21,1,0,1582243200000000000,17.0
2020-02-22 00:00:00+00:00,62,2020-02-22,2,1,1582329600000000000,42.0
2020-02-23 00:00:00+00:00,155,2020-02-23,3,2,1582416000000000000,93.0
2020-02-24 00:00:00+00:00,229,2020-02-24,7,1,1582502400000000000,74.0
2020-02-25 00:00:00+00:00,322,2020-02-25,10,1,1582588800000000000,93.0
2020-02-26 00:00:00+00:00,453,2020-02-26,12,3,1582675200000000000,131.0
2020-02-27 00:00:00+00:00,655,2020-02-27,17,45,1582761600000000000,202.0
2020-02-28 00:00:00+00:00,888,2020-02-28,21,46,1582848000000000000,233.0
2020-02-29 00:00:00+00:00,1128,2020-02-29,29,46,1582934400000000000,240.0
2020-03-01 00:00:00+00:00,1694,2020-03-01,34,83,1583020800000000000,566.0
2020-03-02 00:00:00+00:00,2036,2020-03-02,52,149,1583107200000000000,342.0
2020-03-03 00:00:00+00:00,2502,2020-03-03,79,160,1583193600000000000,466.0
2020-03-04 00:00:00+00:00,3089,2020-03-04,107,276,1583280000000000000,587.0
2020-03-05 00:00:00+00:00,3858,2020-03-05,148,414,1583366400000000000,769.0
2020-03-06 00:00:00+00:00,4636,2020-03-06,197,523,1583452800000000000,778.0
2020-03-07 00:00:00+00:00,5883,2020-03-07,233,589,1583539200000000000,1247.0
2020-03-08 00:00:00+00:00,7375,2020-03-08,366,622,1583625600000000000,1492.0
2020-03-09 00:00:00+00:00,9172,2020-03-09,463,724,1583712000000000000,1797.0
2020-03-10 00:00:00+00:00,10149,2020-03-10,631,724,1583798400000000000,977.0
2020-03-11 00:00:00+00:00,12462,2020-03-11,827,1045,1583884800000000000,2313.0
2020-03-12 00:00:00+00:00,15113,2020-03-12,1016,1045,1583971200000000000,2651.0
2020-03-13 00:00:00+00:00,17660,2020-03-13,1266,1439,1584057600000000000,2547.0
2020-03-14 00:00:00+00:00,21157,2020-03-14,1441,1966,1584144000000000000,3497.0
2020-03-15 00:00:00+00:00,24747,2020-03-15,1809,2335,1584230400000000000,3590.0
2020-03-16 00:00:00+00:00,27980,2020-03-16,2158,2749,1584316800000000000,3233.0
2020-03-17 00:00:00+00:00,31506,2020-03-17,2503,2941,1584403200000000000,3526.0
2020-03-18 00:00:00+00:00,35713,2020-03-18,2978,4025,1584489600000000000,4207.0
2020-03-19 00:00:00+00:00,41035,2020-03-19,3405,4440,1584576000000000000,5322.0
2020-03-20 00:00:00+00:00,47021,2020-03-20,4032,4440,1584662400000000000,5986.0
2020-03-21 00:00:00+00:00,53578,2020-03-21,4825,6072,1584748800000000000,6557.0
2020-03-22 00:00:00+00:00,59138,2020-03-22,5476,7024,1584835200000000000,5560.0
2020-03-23 00:00:00+00:00,63927,2020-03-23,6077,7024,1584921600000000000,4789.0
2020-03-24 00:00:00+00:00,69176,2020-03-24,6820,8326,1585008000000000000,5249.0
2020-03-25 00:00:00+00:00,74386,2020-03-25,7503,9362,1585094400000000000,5210.0
2020-03-26 00:00:00+00:00,80589,2020-03-26,8215,10361,1585180800000000000,6203.0
2020-03-27 00:00:00+00:00,86498,2020-03-27,9134,10950,1585267200000000000,5909.0
2020-03-28 00:00:00+00:00,92472,2020-03-28,10023,12384,1585353600000000000,5974.0
2020-03-29 00:00:00+00:00,97689,2020-03-29,10779,13030,1585440000000000000,5217.0
2020-03-30 00:00:00+00:00,101739,2020-03-30,11591,14620,1585526400000000000,4050.0
2020-03-31 00:00:00+00:00,105792,2020-03-31,12428,15729,1585612800000000000,4053.0
2020-04-01 00:00:00+00:00,110574,2020-04-01,13155,16847,1585699200000000000,4782.0
2020-04-02 00:00:00+00:00,115242,2020-04-02,13915,18278,1585785600000000000,4668.0
2020-04-03 00:00:00+00:00,119827,2020-04-03,14681,19758,1585872000000000000,4585.0
2020-04-04 00:00:00+00:00,124632,2020-04-04,15362,20996,1585958400000000000,4805.0
2020-04-05 00:00:00+00:00,128948,2020-04-05,15887,21815,1586044800000000000,4316.0
2020-04-06 00:00:00+00:00,132547,2020-04-06,16523,22837,1586131200000000000,3599.0
2020-04-07 00:00:00+00:00,135586,2020-04-07,17127,24392,1586217600000000000,3039.0
2020-04-08 00:00:00+00:00,139422,2020-04-08,17669,26491,1586304000000000000,3836.0
2020-04-09 00:00:00+00:00,143626,2020-04-09,18279,28470,1586390400000000000,4204.0
2020-04-10 00:00:00+00:00,147577,2020-04-10,18849,30455,1586476800000000000,3951.0
2020-04-11 00:00:00+00:00,152271,2020-04-11,19468,32534,1586563200000000000,4694.0
2020-04-12 00:00:00+00:00,156363,2020-04-12,19899,34211,1586649600000000000,4092.0
2020-04-13 00:00:00+00:00,159516,2020-04-13,20465,35435,1586736000000000000,3153.0
2020-04-14 00:00:00+00:00,162488,2020-04-14,21067,37130,1586822400000000000,2972.0
2020-04-15 00:00:00+00:00,165155,2020-04-15,21645,38092,1586908800000000000,2667.0
2020-04-16 00:00:00+00:00,168941,2020-04-16,22170,40164,1586995200000000000,3786.0
