date,confirmed,date,deaths,recovered,ts_in_secs,new_confirmed
2020-01-22 00:00:00+00:00,2,2020-01-22,0,0,1579651200000000000,0.0
2020-01-23 00:00:00+00:00,3,2020-01-23,0,0,1579737600000000000,1.0
2020-01-24 00:00:00+00:00,5,2020-01-24,0,0,1579824000000000000,2.0
2020-01-25 00:00:00+00:00,7,2020-01-25,0,0,1579910400000000000,2.0
2020-01-26 00:00:00+00:00,8,2020-01-26,0,2,1579996800000000000,1.0
2020-01-27 00:00:00+00:00,8,2020-01-27,0,2,1580083200000000000,0.0
2020-01-28 00:00:00+00:00,14,2020-01-28,0,5,1580169600000000000,6.0
2020-01-29 00:00:00+00:00,14,2020-01-29,0,5,1580256000000000000,0.0
2020-01-30 00:00:00+00:00,14,2020-01-30,0,5,1580342400000000000,0.0
2020-01-31 00:00:00+00:00,19,2020-01-31,0,5,1580428800000000000,5.0
2020-02-01 00:00:00+00:00,19,2020-02-01,0,5,1580515200000000000,0.0
2020-02-02 00:00:00+00:00,19,2020-02-02,0,5,1580601600000000000,0.0
2020-02-03 00:00:00+00:00,19,2020-02-03,0,5,1580688000000000000,0.0
2020-02-04 00:00:00+00:00,25,2020-02-04,0,5,1580774400000000000,6.0
2020-02-05 00:00:00+00:00,25,2020-02-05,0,5,1580860800000000000,0.0
2020-02-06 00:00:00+00:00,25,2020-02-06,0,5,1580947200000000000,0.0
2020-02-07 00:00:00+00:00,25,2020-02-07,0,5,1581033600000000000,0.0
2020-02-08 00:00:00+00:00,32,2020-02-08,0,10,1581120000000000000,7.0
2020-02-09 00:00:00+00:00,32,2020-02-09,0,10,1581206400000000000,0.0
2020-02-10 00:00:00+00:00,32,2020-02-10,0,10,1581292800000000000,0.0
2020-02-11 00:00:00+00:00,33,2020-02-11,0,10,1581379200000000000,1.0
2020-02-12 00:00:00+00:00,33,2020-02-12,0,10,1581465600000000000,0.0
2020-02-13 00:00:00+00:00,33,2020-02-13,0,12,1581552000000000000,0.0
2020-02-14 00:00:00+00:00,33,2020-02-14,0,12,1581638400000000000,0.0
2020-02-15 00:00:00+00:00,33,2020-02-15,0,12,1581724800000000000,0.0
2020-02-16 00:00:00+00:00,34,2020-02-16,0,14,1581811200000000000,1.0
2020-02-17 00:00:00+00:00,35,2020-02-17,0,15,1581897600000000000,1.0
2020-02-18 00:00:00+00:00,35,2020-02-18,0,15,1581984000000000000,0.0
2020-02-19 00:00:00+00:00,35,2020-02-19,0,15,1582070400000000000,0.0
2020-02-20 00:00:00+00:00,35,2020-02-20,0,15,1582156800000000000,0.0
2020-02-21 00:00:00+00:00,35,2020-02-21,0,17,1582243200000000000,0.0
2020-02-22 00:00:00+00:00,35,2020-02-22,0,17,1582329600000000000,0.0
2020-02-23 00:00:00+00:00,35,2020-02-23,0,21,1582416000000000000,0.0
2020-02-24 00:00:00+00:00,35,2020-02-24,0,21,1582502400000000000,0.0
2020-02-25 00:00:00+00:00,37,2020-02-25,0,22,1582588800000000000,2.0
2020-02-26 00:00:00+00:00,40,2020-02-26,0,22,1582675200000000000,3.0
2020-02-27 00:00:00+00:00,40,2020-02-27,0,22,1582761600000000000,0.0
2020-02-28 00:00:00+00:00,41,2020-02-28,0,28,1582848000000000000,1.0
2020-02-29 00:00:00+00:00,42,2020-02-29,0,28,1582934400000000000,1.0
2020-03-01 00:00:00+00:00,42,2020-03-01,1,28,1583020800000000000,0.0
2020-03-02 00:00:00+00:00,43,2020-03-02,1,31,1583107200000000000,1.0
2020-03-03 00:00:00+00:00,43,2020-03-03,1,31,1583193600000000000,0.0
2020-03-04 00:00:00+00:00,43,2020-03-04,1,31,1583280000000000000,0.0
2020-03-05 00:00:00+00:00,47,2020-03-05,1,31,1583366400000000000,4.0
2020-03-06 00:00:00+00:00,48,2020-03-06,1,31,1583452800000000000,1.0
2020-03-07 00:00:00+00:00,50,2020-03-07,1,31,1583539200000000000,2.0
2020-03-08 00:00:00+00:00,50,2020-03-08,1,31,1583625600000000000,0.0
2020-03-09 00:00:00+00:00,50,2020-03-09,1,31,1583712000000000000,0.0
2020-03-10 00:00:00+00:00,53,2020-03-10,1,33,1583798400000000000,3.0
2020-03-11 00:00:00+00:00,59,2020-03-11,1,34,1583884800000000000,6.0
2020-03-12 00:00:00+00:00,70,2020-03-12,1,34,1583971200000000000,11.0
2020-03-13 00:00:00+00:00,75,2020-03-13,1,35,1584057600000000000,5.0
2020-03-14 00:00:00+00:00,82,2020-03-14,1,35,1584144000000000000,7.0
2020-03-15 00:00:00+00:00,114,2020-03-15,1,35,1584230400000000000,32.0
2020-03-16 00:00:00+00:00,147,2020-03-16,1,35,1584316800000000000,33.0
2020-03-17 00:00:00+00:00,177,2020-03-17,1,41,1584403200000000000,30.0
2020-03-18 00:00:00+00:00,212,2020-03-18,1,42,1584489600000000000,35.0
2020-03-19 00:00:00+00:00,272,2020-03-19,1,42,1584576000000000000,60.0
2020-03-20 00:00:00+00:00,322,2020-03-20,1,42,1584662400000000000,50.0
2020-03-21 00:00:00+00:00,411,2020-03-21,1,42,1584748800000000000,89.0
2020-03-22 00:00:00+00:00,599,2020-03-22,1,44,1584835200000000000,188.0
2020-03-23 00:00:00+00:00,721,2020-03-23,1,44,1584921600000000000,122.0
2020-03-24 00:00:00+00:00,827,2020-03-24,4,52,1585008000000000000,106.0
2020-03-25 00:00:00+00:00,934,2020-03-25,4,70,1585094400000000000,107.0
2020-03-26 00:00:00+00:00,1045,2020-03-26,4,88,1585180800000000000,111.0
2020-03-27 00:00:00+00:00,1136,2020-03-27,5,97,1585267200000000000,91.0
2020-03-28 00:00:00+00:00,1245,2020-03-28,6,97,1585353600000000000,109.0
2020-03-29 00:00:00+00:00,1388,2020-03-29,7,97,1585440000000000000,143.0
2020-03-30 00:00:00+00:00,1524,2020-03-30,9,229,1585526400000000000,136.0
2020-03-31 00:00:00+00:00,1651,2020-03-31,10,342,1585612800000000000,127.0
2020-04-01 00:00:00+00:00,1771,2020-04-01,12,505,1585699200000000000,120.0
2020-04-02 00:00:00+00:00,1875,2020-04-02,15,505,1585785600000000000,104.0
2020-04-03 00:00:00+00:00,1978,2020-04-03,19,612,1585872000000000000,103.0
2020-04-04 00:00:00+00:00,2067,2020-04-04,20,674,1585958400000000000,89.0
2020-04-05 00:00:00+00:00,2169,2020-04-05,23,793,1586044800000000000,102.0
2020-04-06 00:00:00+00:00,2220,2020-04-06,26,793,1586131200000000000,51.0
2020-04-07 00:00:00+00:00,2258,2020-04-07,27,888,1586217600000000000,38.0
2020-04-08 00:00:00+00:00,2369,2020-04-08,30,888,1586304000000000000,111.0
2020-04-09 00:00:00+00:00,2423,2020-04-09,32,940,1586390400000000000,54.0
2020-04-10 00:00:00+00:00,2473,2020-04-10,33,1013,1586476800000000000,50.0
2020-04-11 00:00:00+00:00,2518,2020-04-11,35,1135,1586563200000000000,45.0
2020-04-12 00:00:00+00:00,2551,2020-04-12,38,1218,1586649600000000000,33.0
2020-04-13 00:00:00+00:00,2579,2020-04-13,40,1288,1586736000000000000,28.0
2020-04-14 00:00:00+00:00,2613,2020-04-14,41,1405,1586822400000000000,34.0
2020-04-15 00:00:00+00:00,2643,2020-04-15,43,1497,1586908800000000000,30.0
2020-04-16 00:00:00+00:00,2672,2020-04-16,46,1593,1586995200000000000,29.0
2020-04-17 00:00:00+00:00,2700,2020-04-17,47,1689,1587081600000000000,28.0
2020-04-18 00:00:00+00:00,2733,2020-04-18,47,1787,1587168000000000000,33.0
2020-04-19 00:00:00+00:00,2765,2020-04-19,47,1928,1587254400000000000,32.0
2020-04-20 00:00:00+00:00,2792,2020-04-20,47,1999,1587340800000000000,27.0
2020-04-21 00:00:00+00:00,2811,2020-04-21,48,2108,1587427200000000000,19.0
2020-04-22 00:00:00+00:00,2826,2020-04-22,49,2352,1587513600000000000,15.0
2020-04-23 00:00:00+00:00,2839,2020-04-23,50,2430,1587600000000000000,13.0
2020-04-24 00:00:00+00:00,2907,2020-04-24,51,2547,1587686400000000000,68.0
2020-04-25 00:00:00+00:00,2907,2020-04-25,51,2547,1587772800000000000,0.0
