date,confirmed,deaths,recovered,ts_in_secs,new_confirmed,new_confirmed_rolling
2020-01-22,0,0,0,1579651200000000000,0.0,0.0
2020-01-23,0,0,0,1579737600000000000,0.0,0.0
2020-01-24,0,0,0,1579824000000000000,0.0,0.0
2020-01-25,0,0,0,1579910400000000000,0.0,0.0
2020-01-26,0,0,0,1579996800000000000,0.0,0.0
2020-01-27,0,0,0,1580083200000000000,0.0,0.0
2020-01-28,0,0,0,1580169600000000000,0.0,0.0
2020-01-29,0,0,0,1580256000000000000,0.0,0.0
2020-01-30,0,0,0,1580342400000000000,0.0,0.0
2020-01-31,0,0,0,1580428800000000000,0.0,0.0
2020-02-01,0,0,0,1580515200000000000,0.0,0.0
2020-02-02,0,0,0,1580601600000000000,0.0,0.0
2020-02-03,0,0,0,1580688000000000000,0.0,0.0
2020-02-04,0,0,0,1580774400000000000,0.0,0.0
2020-02-05,0,0,0,1580860800000000000,0.0,0.0
2020-02-06,0,0,0,1580947200000000000,0.0,0.0
2020-02-07,0,0,0,1581033600000000000,0.0,0.0
2020-02-08,0,0,0,1581120000000000000,0.0,0.0
2020-02-09,0,0,0,1581206400000000000,0.0,0.0
2020-02-10,0,0,0,1581292800000000000,0.0,0.0
2020-02-11,0,0,0,1581379200000000000,0.0,0.0
2020-02-12,0,0,0,1581465600000000000,0.0,0.0
2020-02-13,0,0,0,1581552000000000000,0.0,0.0
2020-02-14,0,0,0,1581638400000000000,0.0,0.0
2020-02-15,0,0,0,1581724800000000000,0.0,0.0
2020-02-16,0,0,0,1581811200000000000,0.0,0.0
2020-02-17,0,0,0,1581897600000000000,0.0,0.0
2020-02-18,0,0,0,1581984000000000000,0.0,0.0
2020-02-19,0,0,0,1582070400000000000,0.0,0.0
2020-02-20,0,0,0,1582156800000000000,0.0,0.0
2020-02-21,0,0,0,1582243200000000000,0.0,0.0
2020-02-22,0,0,0,1582329600000000000,0.0,0.0
2020-02-23,0,0,0,1582416000000000000,0.0,0.0
2020-02-24,0,0,0,1582502400000000000,0.0,0.0
2020-02-25,1,0,0,1582588800000000000,1.0,0.14285714285714285
2020-02-26,1,0,0,1582675200000000000,0.0,0.14285714285714285
2020-02-27,8,0,0,1582761600000000000,7.0,1.1428571428571428
2020-02-28,8,0,0,1582848000000000000,0.0,1.1428571428571428
2020-02-29,18,0,0,1582934400000000000,10.0,2.5714285714285716
2020-03-01,27,0,0,1583020800000000000,9.0,3.857142857142857
2020-03-02,42,0,0,1583107200000000000,15.0,6.0
2020-03-03,56,0,2,1583193600000000000,14.0,7.857142857142857
2020-03-04,90,0,3,1583280000000000000,34.0,12.714285714285714
2020-03-05,114,1,3,1583366400000000000,24.0,15.142857142857142
2020-03-06,214,1,3,1583452800000000000,100.0,29.428571428571427
2020-03-07,268,1,3,1583539200000000000,54.0,35.714285714285715
2020-03-08,337,2,3,1583625600000000000,69.0,44.285714285714285
2020-03-09,374,2,3,1583712000000000000,37.0,47.42857142857143
2020-03-10,491,3,3,1583798400000000000,117.0,62.142857142857146
2020-03-11,652,4,4,1583884800000000000,161.0,80.28571428571429
2020-03-12,652,4,4,1583971200000000000,0.0,76.85714285714286
2020-03-13,1139,11,4,1584057600000000000,487.0,132.14285714285714
2020-03-14,1359,13,4,1584144000000000000,220.0,155.85714285714286
2020-03-15,2200,14,4,1584230400000000000,841.0,266.14285714285717
2020-03-16,2200,14,4,1584316800000000000,0.0,260.85714285714283
2020-03-17,2700,27,4,1584403200000000000,500.0,315.57142857142856
2020-03-18,3028,28,15,1584489600000000000,328.0,339.42857142857144
2020-03-19,4075,41,15,1584576000000000000,1047.0,489.0
2020-03-20,5294,54,15,1584662400000000000,1219.0,593.5714285714286
2020-03-21,6575,75,15,1584748800000000000,1281.0,745.1428571428571
2020-03-22,7474,98,131,1584835200000000000,899.0,753.4285714285714
2020-03-23,8795,120,131,1584921600000000000,1321.0,942.1428571428571
2020-03-24,9877,122,131,1585008000000000000,1082.0,1025.2857142857142
2020-03-25,10897,153,131,1585094400000000000,1020.0,1124.142857142857
2020-03-26,11811,191,131,1585180800000000000,914.0,1105.142857142857
2020-03-27,12928,231,1530,1585267200000000000,1117.0,1090.5714285714287
2020-03-28,14076,264,1530,1585353600000000000,1148.0,1071.5714285714287
2020-03-29,14829,300,1595,1585440000000000000,753.0,1050.7142857142858
2020-03-30,15922,359,1823,1585526400000000000,1093.0,1018.1428571428571
2020-03-31,16605,433,1823,1585612800000000000,683.0,961.1428571428571
2020-04-01,17768,488,2967,1585699200000000000,1163.0,981.5714285714286
2020-04-02,18827,536,4013,1585785600000000000,1059.0,1002.2857142857143
2020-04-03,19606,591,4846,1585872000000000000,779.0,954.0
2020-04-04,20505,666,6415,1585958400000000000,899.0,918.4285714285714
2020-04-05,21100,715,6415,1586044800000000000,595.0,895.8571428571429
2020-04-06,21657,765,8056,1586131200000000000,557.0,819.2857142857143
2020-04-07,22253,821,8704,1586217600000000000,596.0,806.8571428571429
2020-04-08,23280,895,9800,1586304000000000000,1027.0,787.4285714285714
2020-04-09,24051,948,10600,1586390400000000000,771.0,746.2857142857143
2020-04-10,24551,1002,11100,1586476800000000000,500.0,706.4285714285714
2020-04-11,25107,1036,12100,1586563200000000000,556.0,657.4285714285714
2020-04-12,25415,1106,12700,1586649600000000000,308.0,616.4285714285714
2020-04-13,25688,1138,13700,1586736000000000000,273.0,575.8571428571429
2020-04-14,25936,1174,13700,1586822400000000000,248.0,526.1428571428571
2020-04-15,26336,1239,15400,1586908800000000000,400.0,436.57142857142856
2020-04-16,26732,1281,15900,1586995200000000000,396.0,383.0
2020-04-17,27078,1327,16400,1587081600000000000,346.0,361.0
2020-04-18,27404,1368,17100,1587168000000000000,326.0,328.14285714285717
2020-04-19,27740,1393,17800,1587254400000000000,336.0,332.14285714285717
2020-04-20,27944,1429,18600,1587340800000000000,204.0,322.2857142857143
2020-04-21,28063,1478,19400,1587427200000000000,119.0,303.85714285714283
2020-04-22,28268,1509,19900,1587513600000000000,205.0,276.0
2020-04-23,28496,1549,20600,1587600000000000000,228.0,252.0
2020-04-24,28677,1589,21000,1587686400000000000,181.0,228.42857142857142
2020-04-25,28894,1599,21300,1587772800000000000,217.0,212.85714285714286
2020-04-26,29061,1610,21800,1587859200000000000,167.0,188.71428571428572
2020-04-27,29164,1665,22200,1587945600000000000,103.0,174.28571428571428
2020-04-28,29264,1699,22600,1588032000000000000,100.0,171.57142857142858
2020-04-29,29407,1716,22600,1588118400000000000,143.0,162.71428571428572
2020-04-30,29586,1737,23400,1588204800000000000,179.0,155.71428571428572
2020-05-01,29705,1754,23900,1588291200000000000,119.0,146.85714285714286
2020-05-02,29817,1762,24200,1588377600000000000,112.0,131.85714285714286
2020-05-03,29905,1762,24500,1588464000000000000,88.0,120.57142857142857
2020-05-04,29981,1784,25200,1588550400000000000,76.0,116.71428571428571
2020-05-05,30009,1795,25400,1588636800000000000,28.0,106.42857142857143
2020-05-06,30060,1805,25700,1588723200000000000,51.0,93.28571428571429
2020-05-07,30126,1810,25900,1588809600000000000,66.0,77.14285714285714
2020-05-08,30207,1823,26100,1588896000000000000,81.0,71.71428571428571
2020-05-09,30251,1830,26400,1588982400000000000,44.0,62.0
2020-05-10,30305,1833,26600,1589068800000000000,54.0,57.142857142857146
2020-05-11,30344,1845,26800,1589155200000000000,39.0,51.857142857142854
2020-05-12,30380,1867,26800,1589241600000000000,36.0,53.0
2020-05-13,30413,1870,27100,1589328000000000000,33.0,50.42857142857143
2020-05-14,30463,1872,27100,1589414400000000000,50.0,48.142857142857146
2020-05-15,30514,1878,27100,1589500800000000000,51.0,43.857142857142854
2020-05-16,30572,1879,27400,1589587200000000000,58.0,45.857142857142854
2020-05-17,30587,1881,27500,1589673600000000000,15.0,40.285714285714285
2020-05-18,30597,1886,27600,1589760000000000000,10.0,36.142857142857146
2020-05-19,30618,1891,27700,1589846400000000000,21.0,34.0
2020-05-20,30658,1892,27800,1589932800000000000,40.0,35.0
2020-05-21,30694,1898,27900,1590019200000000000,36.0,33.0
2020-05-22,30707,1903,27900,1590105600000000000,13.0,27.571428571428573
2020-05-23,30725,1905,28000,1590192000000000000,18.0,21.857142857142858
2020-05-24,30736,1906,28100,1590278400000000000,11.0,21.285714285714285
2020-05-25,30746,1913,28200,1590364800000000000,10.0,21.285714285714285
2020-05-26,30761,1915,28200,1590451200000000000,15.0,20.428571428571427
2020-05-27,30776,1917,28300,1590537600000000000,15.0,16.857142857142858
2020-05-28,30796,1919,28300,1590624000000000000,20.0,14.571428571428571
2020-05-29,30828,1919,28300,1590710400000000000,32.0,17.285714285714285
2020-05-30,30845,1919,28400,1590796800000000000,17.0,17.142857142857142
2020-05-31,30862,1920,28500,1590883200000000000,17.0,18.0
2020-06-01,30871,1920,28500,1590969600000000000,9.0,17.857142857142858
2020-06-02,30874,1920,28500,1591056000000000000,3.0,16.142857142857142
2020-06-03,30893,1921,28600,1591142400000000000,19.0,16.714285714285715
2020-06-04,30913,1921,28600,1591228800000000000,20.0,16.714285714285715
2020-06-05,30936,1921,28600,1591315200000000000,23.0,15.428571428571429
2020-06-06,30956,1921,28700,1591401600000000000,20.0,15.857142857142858
2020-06-07,30965,1921,28700,1591488000000000000,9.0,14.714285714285714
2020-06-08,30972,1923,28700,1591574400000000000,7.0,14.428571428571429
2020-06-09,30988,1934,28700,1591660800000000000,16.0,16.285714285714285
2020-06-10,31011,1936,28700,1591747200000000000,23.0,16.857142857142858
2020-06-11,31044,1937,28800,1591833600000000000,33.0,18.714285714285715
2020-06-12,31063,1938,28800,1591920000000000000,19.0,18.142857142857142
2020-06-13,31094,1938,28800,1592006400000000000,31.0,19.714285714285715
2020-06-14,31117,1938,28800,1592092800000000000,23.0,21.714285714285715
2020-06-15,31131,1939,28900,1592179200000000000,14.0,22.714285714285715
2020-06-16,31154,1954,28900,1592265600000000000,23.0,23.714285714285715
2020-06-17,31187,1956,28900,1592352000000000000,33.0,25.142857142857142
2020-06-18,31200,1956,28900,1592438400000000000,13.0,22.285714285714285
2020-06-19,31235,1956,28900,1592524800000000000,35.0,24.571428571428573
2020-06-20,31243,1956,28900,1592611200000000000,8.0,21.285714285714285
2020-06-21,31292,1956,29000,1592697600000000000,49.0,25.0
2020-06-22,31310,1956,29000,1592784000000000000,18.0,25.571428571428573
2020-06-23,31332,1956,29000,1592870400000000000,22.0,25.428571428571427
2020-06-24,31376,1958,29000,1592956800000000000,44.0,27.0
2020-06-25,31428,1958,29000,1593043200000000000,52.0,32.57142857142857
2020-06-26,31486,1962,29000,1593129600000000000,58.0,35.857142857142854
2020-06-27,31555,1962,29100,1593216000000000000,69.0,44.57142857142857
2020-06-28,31617,1962,29100,1593302400000000000,62.0,46.42857142857143
2020-06-29,31652,1962,29100,1593388800000000000,35.0,48.857142857142854
2020-06-30,31714,1963,29200,1593475200000000000,62.0,54.57142857142857
2020-07-01,31851,1965,29200,1593561600000000000,137.0,67.85714285714286
2020-07-02,31967,1965,29200,1593648000000000000,116.0,77.0
2020-07-03,32101,1965,29200,1593734400000000000,134.0,87.85714285714286
2020-07-04,32198,1965,29200,1593820800000000000,97.0,91.85714285714286
2020-07-05,32268,1965,29300,1593907200000000000,70.0,93.0
2020-07-06,32315,1965,29300,1593993600000000000,47.0,94.71428571428571
2020-07-07,32369,1966,29300,1594080000000000000,54.0,93.57142857142857
2020-07-08,32498,1966,29400,1594166400000000000,129.0,92.42857142857143
2020-07-09,32586,1966,29400,1594252800000000000,88.0,88.42857142857143
2020-07-10,32690,1966,29400,1594339200000000000,104.0,84.14285714285714
2020-07-11,32817,1968,29500,1594425600000000000,127.0,88.42857142857143
2020-07-12,32883,1968,29600,1594512000000000000,66.0,87.85714285714286
2020-07-13,32946,1968,29600,1594598400000000000,63.0,90.14285714285714
2020-07-14,33016,1968,29800,1594684800000000000,70.0,92.42857142857143
2020-07-15,33148,1968,29800,1594771200000000000,132.0,92.85714285714286
2020-07-16,33290,1969,29900,1594857600000000000,142.0,100.57142857142857
2020-07-17,33382,1969,29900,1594944000000000000,92.0,98.85714285714286
2020-07-18,33492,1969,29900,1595030400000000000,110.0,96.42857142857143
2020-07-19,33591,1969,30300,1595116800000000000,99.0,101.14285714285714
2020-07-20,33634,1971,30300,1595203200000000000,43.0,98.28571428571429
2020-07-21,33742,1972,30300,1595289600000000000,108.0,103.71428571428571
2020-07-22,33883,1972,30500,1595376000000000000,141.0,105.0
2020-07-23,34000,1975,30500,1595462400000000000,117.0,101.42857142857143
2020-07-24,34154,1977,30500,1595548800000000000,154.0,110.28571428571429
2020-07-25,34302,1977,30500,1595635200000000000,148.0,115.71428571428571
2020-07-26,34412,1977,30700,1595721600000000000,110.0,117.28571428571429
2020-07-27,34477,1978,30900,1595808000000000000,65.0,120.42857142857143
2020-07-28,34609,1978,31000,1595894400000000000,132.0,123.85714285714286
2020-07-29,34802,1979,31100,1595980800000000000,193.0,131.28571428571428
2020-07-30,35022,1980,31100,1596067200000000000,220.0,146.0
2020-07-31,35232,1981,31100,1596153600000000000,210.0,154.0
2020-08-01,35412,1981,31300,1596240000000000000,180.0,158.57142857142858
2020-08-02,35550,1981,31500,1596326400000000000,138.0,162.57142857142858
2020-08-03,35616,1981,31500,1596412800000000000,66.0,162.71428571428572
2020-08-04,35746,1981,31600,1596499200000000000,130.0,162.42857142857142
2020-08-05,35927,1984,31600,1596585600000000000,181.0,160.71428571428572
2020-08-06,36108,1985,31600,1596672000000000000,181.0,155.14285714285714
2020-08-07,36269,1986,31600,1596758400000000000,161.0,148.14285714285714
2020-08-08,36451,1986,31900,1596844800000000000,182.0,148.42857142857142
2020-08-09,36603,1986,32300,1596931200000000000,152.0,150.42857142857142
2020-08-10,36708,1987,32400,1597017600000000000,105.0,156.0
2020-08-11,36895,1990,32400,1597104000000000000,187.0,164.14285714285714
2020-08-12,37169,1991,32700,1597190400000000000,274.0,177.42857142857142
2020-08-13,37403,1991,32700,1597276800000000000,234.0,185.0
2020-08-14,37671,1991,32900,1597363200000000000,268.0,200.28571428571428
2020-08-15,37924,1991,33200,1597449600000000000,253.0,210.42857142857142
2020-08-16,38124,1991,33300,1597536000000000000,200.0,217.28571428571428
2020-08-17,38252,1991,33300,1597622400000000000,128.0,220.57142857142858
2020-08-18,38449,1992,33500,1597708800000000000,197.0,222.0
2020-08-19,38760,1996,33500,1597795200000000000,311.0,227.28571428571428
2020-08-20,39026,1998,33900,1597881600000000000,266.0,231.85714285714286
2020-08-21,39332,2000,33900,1597968000000000000,306.0,237.28571428571428
2020-08-22,39627,2000,34100,1598054400000000000,295.0,243.28571428571428
2020-08-23,39903,2001,34400,1598140800000000000,276.0,254.14285714285714
2020-08-24,40060,2001,34400,1598227200000000000,157.0,258.2857142857143
2020-08-25,40262,2002,34400,1598313600000000000,202.0,259.0
2020-08-26,40645,2003,34800,1598400000000000000,383.0,269.2857142857143
2020-08-27,41006,2003,34800,1598486400000000000,361.0,282.85714285714283
2020-08-28,41346,2004,34800,1598572800000000000,340.0,287.7142857142857
2020-08-29,41722,2005,35200,1598659200000000000,376.0,299.2857142857143
2020-08-30,42014,2005,35800,1598745600000000000,292.0,301.57142857142856
2020-08-31,42177,2006,36100,1598832000000000000,163.0,302.42857142857144
2020-09-01,42393,2011,36300,1598918400000000000,216.0,304.42857142857144
2020-09-02,42763,2011,36500,1599004800000000000,370.0,302.57142857142856
2020-09-03,43127,2013,36500,1599091200000000000,364.0,303.0
2020-09-04,43532,2013,36500,1599177600000000000,405.0,312.2857142857143
2020-09-05,43957,2013,37100,1599264000000000000,425.0,319.2857142857143
2020-09-06,44401,2013,37100,1599350400000000000,444.0,341.0
2020-09-07,44592,2014,37700,1599436800000000000,191.0,345.0
2020-09-08,44837,2018,37700,1599523200000000000,245.0,349.14285714285717
2020-09-09,45306,2019,38100,1599609600000000000,469.0,363.2857142857143
2020-09-10,45711,2020,38100,1599696000000000000,405.0,369.14285714285717
2020-09-11,46239,2020,38100,1599782400000000000,528.0,386.7142857142857
2020-09-12,46704,2020,38500,1599868800000000000,465.0,392.42857142857144
2020-09-13,47179,2021,38900,1599955200000000000,475.0,396.85714285714283
2020-09-14,47436,2025,39600,1600041600000000000,257.0,406.2857142857143
2020-09-15,47751,2028,39900,1600128000000000000,315.0,416.2857142857143
2020-09-16,48265,2039,39900,1600214400000000000,514.0,422.7142857142857
2020-09-17,48795,2042,39900,1600300800000000000,530.0,440.57142857142856
2020-09-18,49283,2045,40500,1600387200000000000,488.0,434.85714285714283
2020-09-19,49283,2045,40500,1600473600000000000,0.0,368.42857142857144
2020-09-20,49283,2045,40500,1600560000000000000,0.0,300.57142857142856
2020-09-21,50378,2050,40500,1600646400000000000,1095.0,420.2857142857143
2020-09-22,50664,2054,42100,1600732800000000000,286.0,416.14285714285717
2020-09-23,51101,2060,42100,1600819200000000000,437.0,405.14285714285717
2020-09-24,51492,2061,42600,1600905600000000000,391.0,385.2857142857143
2020-09-25,51864,2064,42600,1600992000000000000,372.0,368.7142857142857
2020-09-26,51864,2064,42600,1601078400000000000,0.0,368.7142857142857
2020-09-27,51864,2064,42700,1601164800000000000,0.0,368.7142857142857
2020-09-28,52646,2065,42700,1601251200000000000,782.0,324.0
2020-09-29,52871,2069,42700,1601337600000000000,225.0,315.2857142857143
2020-09-30,53282,2074,42700,1601424000000000000,411.0,311.57142857142856
2020-10-01,53832,2074,45300,1601510400000000000,550.0,334.2857142857143
2020-10-02,54384,2075,45800,1601596800000000000,552.0,360.0
2020-10-03,54384,2076,45800,1601683200000000000,0.0,360.0
2020-10-04,54384,2077,45800,1601769600000000000,0.0,360.0
2020-10-05,55932,2078,45800,1601856000000000000,1548.0,469.42857142857144
2020-10-06,56632,2081,47300,1601942400000000000,700.0,537.2857142857143
2020-10-07,57709,2082,47300,1602028800000000000,1077.0,632.4285714285714
2020-10-08,58881,2087,48400,1602115200000000000,1172.0,721.2857142857143
2020-10-09,60368,2088,48400,1602201600000000000,1487.0,854.8571428571429
2020-10-10,60368,2088,48400,1602288000000000000,0.0,854.8571428571429
2020-10-11,60368,2088,48400,1602374400000000000,0.0,854.8571428571429
2020-10-12,64436,2096,49500,1602460800000000000,4068.0,1214.857142857143
2020-10-13,65881,2103,49800,1602547200000000000,1445.0,1321.2857142857142
2020-10-14,68704,2109,49800,1602633600000000000,2823.0,1570.7142857142858
2020-10-15,71317,2115,50500,1602720000000000000,2613.0,1776.5714285714287
2020-10-16,74422,2122,50500,1602806400000000000,3105.0,2007.7142857142858
2020-10-17,74422,2122,50600,1602892800000000000,0.0,2007.7142857142858
2020-10-18,74422,2123,50600,1602979200000000000,0.0,2007.7142857142858
