date,confirmed,deaths,recovered,ts_in_secs,new_confirmed,new_confirmed_rolling
2020-01-22,548,17,28,1579651200000000000,0.0,0.0
2020-01-23,643,18,30,1579737600000000000,95.0,0.0
2020-01-24,920,26,36,1579824000000000000,277.0,0.0
2020-01-25,1406,42,39,1579910400000000000,486.0,0.0
2020-01-26,2075,56,49,1579996800000000000,669.0,0.0
2020-01-27,2877,82,58,1580083200000000000,802.0,0.0
2020-01-28,5509,131,101,1580169600000000000,2632.0,708.7142857142857
2020-01-29,6087,133,120,1580256000000000000,578.0,791.2857142857143
2020-01-30,8141,171,135,1580342400000000000,2054.0,1071.142857142857
2020-01-31,9802,213,214,1580428800000000000,1661.0,1268.857142857143
2020-02-01,11891,259,275,1580515200000000000,2089.0,1497.857142857143
2020-02-02,16630,361,463,1580601600000000000,4739.0,2079.285714285714
2020-02-03,19716,425,614,1580688000000000000,3086.0,2405.5714285714284
2020-02-04,23707,491,843,1580774400000000000,3991.0,2599.714285714286
2020-02-05,27440,563,1115,1580860800000000000,3733.0,3050.4285714285716
2020-02-06,30587,633,1477,1580947200000000000,3147.0,3206.5714285714284
2020-02-07,34110,718,1999,1581033600000000000,3523.0,3472.5714285714284
2020-02-08,36814,805,2596,1581120000000000000,2704.0,3560.4285714285716
2020-02-09,39829,905,3219,1581206400000000000,3015.0,3314.1428571428573
2020-02-10,42354,1012,3918,1581292800000000000,2525.0,3234.0
2020-02-11,44386,1112,4636,1581379200000000000,2032.0,2954.1428571428573
2020-02-12,44759,1117,5082,1581465600000000000,373.0,2474.1428571428573
2020-02-13,59895,1369,6217,1581552000000000000,15136.0,4186.857142857143
2020-02-14,66358,1521,7977,1581638400000000000,6463.0,4606.857142857143
2020-02-15,68413,1663,9298,1581724800000000000,2055.0,4514.142857142857
2020-02-16,70513,1766,10755,1581811200000000000,2100.0,4383.428571428572
2020-02-17,72434,1864,12462,1581897600000000000,1921.0,4297.142857142857
2020-02-18,74211,2003,14206,1581984000000000000,1777.0,4260.714285714285
2020-02-19,74619,2116,15962,1582070400000000000,408.0,4265.714285714285
2020-02-20,75077,2238,18014,1582156800000000000,458.0,2168.8571428571427
2020-02-21,75550,2238,18704,1582243200000000000,473.0,1313.142857142857
2020-02-22,77001,2443,22699,1582329600000000000,1451.0,1226.857142857143
2020-02-23,77022,2445,23187,1582416000000000000,21.0,929.8571428571429
2020-02-24,77241,2595,25015,1582502400000000000,219.0,686.7142857142857
2020-02-25,77754,2665,27676,1582588800000000000,513.0,506.14285714285717
2020-02-26,78166,2717,30084,1582675200000000000,412.0,506.7142857142857
2020-02-27,78600,2746,32930,1582761600000000000,434.0,503.2857142857143
2020-02-28,78928,2790,36329,1582848000000000000,328.0,482.57142857142856
2020-02-29,79356,2837,39320,1582934400000000000,428.0,336.42857142857144
2020-03-01,79932,2872,42162,1583020800000000000,576.0,415.7142857142857
2020-03-02,80136,2914,44854,1583107200000000000,204.0,413.57142857142856
2020-03-03,80261,2947,47450,1583193600000000000,125.0,358.14285714285717
2020-03-04,80386,2983,50001,1583280000000000000,125.0,317.14285714285717
2020-03-05,80537,3015,52292,1583366400000000000,151.0,276.7142857142857
2020-03-06,80690,3044,53944,1583452800000000000,153.0,251.71428571428572
2020-03-07,80770,3072,55539,1583539200000000000,80.0,202.0
2020-03-08,80823,3100,57388,1583625600000000000,53.0,127.28571428571429
2020-03-09,80860,3123,58804,1583712000000000000,37.0,103.42857142857143
2020-03-10,80887,3139,60181,1583798400000000000,27.0,89.42857142857143
2020-03-11,80921,3161,61644,1583884800000000000,34.0,76.42857142857143
2020-03-12,80932,3172,62901,1583971200000000000,11.0,56.42857142857143
2020-03-13,80945,3180,64196,1584057600000000000,13.0,36.42857142857143
2020-03-14,80977,3193,65660,1584144000000000000,32.0,29.571428571428573
2020-03-15,81003,3203,67017,1584230400000000000,26.0,25.714285714285715
2020-03-16,81033,3217,67910,1584316800000000000,30.0,24.714285714285715
2020-03-17,81058,3230,68798,1584403200000000000,25.0,24.428571428571427
2020-03-18,81102,3241,69755,1584489600000000000,44.0,25.857142857142858
2020-03-19,81156,3249,70535,1584576000000000000,54.0,32.0
2020-03-20,81250,3253,71266,1584662400000000000,94.0,43.57142857142857
2020-03-21,81305,3259,71857,1584748800000000000,55.0,46.857142857142854
2020-03-22,81435,3274,72362,1584835200000000000,130.0,61.714285714285715
2020-03-23,81498,3274,72814,1584921600000000000,63.0,66.42857142857143
2020-03-24,81591,3281,73280,1585008000000000000,93.0,76.14285714285714
2020-03-25,81661,3285,73773,1585094400000000000,70.0,79.85714285714286
2020-03-26,81782,3291,74181,1585180800000000000,121.0,89.42857142857143
2020-03-27,81897,3296,74720,1585267200000000000,115.0,92.42857142857143
2020-03-28,81999,3299,75100,1585353600000000000,102.0,99.14285714285714
2020-03-29,82122,3304,75582,1585440000000000000,123.0,98.14285714285714
2020-03-30,82198,3308,75923,1585526400000000000,76.0,100.0
2020-03-31,82279,3309,76206,1585612800000000000,81.0,98.28571428571429
2020-04-01,82361,3316,76405,1585699200000000000,82.0,100.0
2020-04-02,82432,3322,76565,1585785600000000000,71.0,92.85714285714286
2020-04-03,82511,3326,76760,1585872000000000000,79.0,87.71428571428571
2020-04-04,82543,3330,76946,1585958400000000000,32.0,77.71428571428571
2020-04-05,82602,3333,77207,1586044800000000000,59.0,68.57142857142857
2020-04-06,82665,3335,77310,1586131200000000000,63.0,66.71428571428571
2020-04-07,82718,3335,77410,1586217600000000000,53.0,62.714285714285715
2020-04-08,82809,3337,77567,1586304000000000000,91.0,64.0
2020-04-09,82883,3339,77679,1586390400000000000,74.0,64.42857142857143
2020-04-10,82941,3340,77791,1586476800000000000,58.0,61.42857142857143
2020-04-11,83014,3343,77877,1586563200000000000,73.0,67.28571428571429
2020-04-12,83134,3343,77956,1586649600000000000,120.0,76.0
2020-04-13,83213,3345,78039,1586736000000000000,79.0,78.28571428571429
2020-04-14,83306,3345,78200,1586822400000000000,93.0,84.0
2020-04-15,83356,3346,78311,1586908800000000000,50.0,78.14285714285714
2020-04-16,83403,3346,78401,1586995200000000000,47.0,74.28571428571429
2020-04-17,83760,4636,77552,1587081600000000000,357.0,117.0
2020-04-18,83787,4636,77614,1587168000000000000,27.0,110.42857142857143
2020-04-19,83805,4636,77690,1587254400000000000,18.0,95.85714285714286
2020-04-20,83817,4636,77745,1587340800000000000,12.0,86.28571428571429
2020-04-21,83853,4636,77799,1587427200000000000,36.0,78.14285714285714
2020-04-22,83868,4636,77861,1587513600000000000,15.0,73.14285714285714
2020-04-23,83884,4636,77983,1587600000000000000,16.0,68.71428571428571
2020-04-24,83899,4636,78109,1587686400000000000,15.0,19.857142857142858
2020-04-25,83909,4636,78175,1587772800000000000,10.0,17.428571428571427
2020-04-26,83912,4637,78277,1587859200000000000,3.0,15.285714285714286
2020-04-27,83918,4637,78374,1587945600000000000,6.0,14.428571428571429
2020-04-28,83940,4637,78422,1588032000000000000,22.0,12.428571428571429
2020-04-29,83944,4637,78474,1588118400000000000,4.0,10.857142857142858
2020-04-30,83956,4637,78523,1588204800000000000,12.0,10.285714285714286
2020-05-01,83959,4637,78573,1588291200000000000,3.0,8.571428571428571
2020-05-02,83959,4637,78586,1588377600000000000,0.0,7.142857142857143
2020-05-03,83964,4637,78684,1588464000000000000,5.0,7.428571428571429
2020-05-04,83966,4637,78792,1588550400000000000,2.0,6.857142857142857
2020-05-05,83968,4637,78870,1588636800000000000,2.0,4.0
2020-05-06,83970,4637,78929,1588723200000000000,2.0,3.7142857142857144
2020-05-07,83975,4637,78977,1588809600000000000,5.0,2.7142857142857144
2020-05-08,83976,4637,78993,1588896000000000000,1.0,2.4285714285714284
2020-05-09,83990,4637,79127,1588982400000000000,14.0,4.428571428571429
2020-05-10,84010,4637,79167,1589068800000000000,20.0,6.571428571428571
2020-05-11,84011,4637,79198,1589155200000000000,1.0,6.428571428571429
2020-05-12,84018,4637,79222,1589241600000000000,7.0,7.142857142857143
2020-05-13,84024,4637,79246,1589328000000000000,6.0,7.714285714285714
2020-05-14,84029,4637,79261,1589414400000000000,5.0,7.714285714285714
2020-05-15,84038,4637,79281,1589500800000000000,9.0,8.857142857142858
2020-05-16,84044,4638,79293,1589587200000000000,6.0,7.714285714285714
2020-05-17,84054,4638,79306,1589673600000000000,10.0,6.285714285714286
2020-05-18,84063,4638,79310,1589760000000000000,9.0,7.428571428571429
2020-05-19,84063,4638,79310,1589846400000000000,0.0,6.428571428571429
2020-05-20,84063,4638,79310,1589932800000000000,0.0,5.571428571428571
2020-05-21,84063,4638,79310,1590019200000000000,0.0,4.857142857142857
2020-05-22,84081,4638,79332,1590105600000000000,18.0,6.142857142857143
2020-05-23,84084,4638,79335,1590192000000000000,3.0,5.714285714285714
2020-05-24,84095,4638,79343,1590278400000000000,11.0,5.857142857142857
2020-05-25,84102,4638,79352,1590364800000000000,7.0,5.571428571428571
2020-05-26,84103,4638,79358,1590451200000000000,1.0,5.714285714285714
2020-05-27,84106,4638,79367,1590537600000000000,3.0,6.142857142857143
2020-05-28,84106,4638,79371,1590624000000000000,0.0,6.142857142857143
2020-05-29,84123,4638,79382,1590710400000000000,17.0,6.0
2020-05-30,84128,4638,79386,1590796800000000000,5.0,6.285714285714286
2020-05-31,84146,4638,79389,1590883200000000000,18.0,7.285714285714286
2020-06-01,84154,4638,79398,1590969600000000000,8.0,7.428571428571429
2020-06-02,84161,4638,79400,1591056000000000000,7.0,8.285714285714286
2020-06-03,84160,4638,79404,1591142400000000000,-1.0,7.714285714285714
2020-06-04,84171,4638,79415,1591228800000000000,11.0,9.285714285714286
2020-06-05,84177,4638,79420,1591315200000000000,6.0,7.714285714285714
2020-06-06,84186,4638,79424,1591401600000000000,9.0,8.285714285714286
2020-06-07,84191,4638,79434,1591488000000000000,5.0,6.428571428571429
2020-06-08,84195,4638,79444,1591574400000000000,4.0,5.857142857142857
2020-06-09,84198,4638,79451,1591660800000000000,3.0,5.285714285714286
2020-06-10,84209,4638,79456,1591747200000000000,11.0,7.0
2020-06-11,84216,4638,79464,1591833600000000000,7.0,6.428571428571429
2020-06-12,84228,4638,79472,1591920000000000000,12.0,7.285714285714286
2020-06-13,84286,4638,79475,1592006400000000000,58.0,14.285714285714286
2020-06-14,84335,4638,79482,1592092800000000000,49.0,20.571428571428573
2020-06-15,84378,4638,79489,1592179200000000000,43.0,26.142857142857142
2020-06-16,84422,4638,79493,1592265600000000000,44.0,32.0
2020-06-17,84458,4638,79510,1592352000000000000,36.0,35.57142857142857
2020-06-18,84494,4638,79515,1592438400000000000,36.0,39.714285714285715
2020-06-19,84494,4638,79515,1592524800000000000,0.0,38.0
2020-06-20,84553,4639,79534,1592611200000000000,59.0,38.142857142857146
2020-06-21,84572,4639,79535,1592697600000000000,19.0,33.857142857142854
2020-06-22,84624,4639,79547,1592784000000000000,52.0,35.142857142857146
2020-06-23,84653,4640,79555,1592870400000000000,29.0,33.0
2020-06-24,84673,4640,79562,1592956800000000000,20.0,30.714285714285715
2020-06-25,84701,4641,79572,1593043200000000000,28.0,29.571428571428573
2020-06-26,84725,4641,79580,1593129600000000000,24.0,33.0
2020-06-27,84743,4641,79591,1593216000000000000,18.0,27.142857142857142
2020-06-28,84757,4641,79609,1593302400000000000,14.0,26.428571428571427
2020-06-29,84780,4641,79619,1593388800000000000,23.0,22.285714285714285
2020-06-30,84785,4641,79632,1593475200000000000,5.0,18.857142857142858
2020-07-01,84816,4641,79650,1593561600000000000,31.0,20.428571428571427
2020-07-02,84830,4641,79665,1593648000000000000,14.0,18.428571428571427
2020-07-03,84838,4641,79680,1593734400000000000,8.0,16.142857142857142
2020-07-04,84857,4641,79706,1593820800000000000,19.0,16.285714285714285
2020-07-05,84871,4641,79718,1593907200000000000,14.0,16.285714285714285
2020-07-06,84889,4641,79725,1593993600000000000,18.0,15.571428571428571
2020-07-07,84917,4641,79754,1594080000000000000,28.0,18.857142857142858
2020-07-08,84950,4641,79802,1594166400000000000,33.0,19.142857142857142
2020-07-09,84992,4641,79802,1594252800000000000,42.0,23.142857142857142
2020-07-10,84992,4641,79802,1594339200000000000,0.0,22.0
2020-07-11,85071,4641,79876,1594425600000000000,79.0,30.571428571428573
2020-07-12,85117,4641,79907,1594512000000000000,46.0,35.142857142857146
2020-07-13,85117,4641,79907,1594598400000000000,0.0,32.57142857142857
2020-07-14,85226,4642,79967,1594684800000000000,109.0,44.142857142857146
2020-07-15,85246,4644,80005,1594771200000000000,20.0,42.285714285714285
2020-07-16,85327,4644,80038,1594857600000000000,81.0,47.857142857142854
2020-07-17,85402,4645,80064,1594944000000000000,75.0,58.57142857142857
2020-07-18,85418,4646,80092,1595030400000000000,16.0,49.57142857142857
2020-07-19,85503,4646,80137,1595116800000000000,85.0,55.142857142857146
2020-07-20,85622,4646,80162,1595203200000000000,119.0,72.14285714285714
2020-07-21,85708,4648,80204,1595289600000000000,86.0,68.85714285714286
2020-07-22,85906,4648,80244,1595376000000000000,198.0,94.28571428571429
2020-07-23,86045,4649,80297,1595462400000000000,139.0,102.57142857142857
2020-07-24,86202,4650,80341,1595548800000000000,157.0,114.28571428571429
2020-07-25,86381,4652,80409,1595635200000000000,179.0,137.57142857142858
2020-07-26,86570,4652,80459,1595721600000000000,189.0,152.42857142857142
2020-07-27,86783,4656,80466,1595808000000000000,213.0,165.85714285714286
2020-07-28,86990,4657,80517,1595894400000000000,207.0,183.14285714285714
2020-07-29,87213,4658,80594,1595980800000000000,223.0,186.71428571428572
2020-07-30,87489,4659,80680,1596067200000000000,276.0,206.28571428571428
2020-07-31,87655,4661,80787,1596153600000000000,166.0,207.57142857142858
2020-08-01,87827,4667,80907,1596240000000000000,172.0,206.57142857142858
2020-08-02,87985,4669,81018,1596326400000000000,158.0,202.14285714285714
2020-08-03,88099,4672,81113,1596412800000000000,114.0,188.0
2020-08-04,88206,4676,81234,1596499200000000000,107.0,173.71428571428572
2020-08-05,88328,4677,81417,1596585600000000000,122.0,159.28571428571428
2020-08-06,88460,4680,81592,1596672000000000000,132.0,138.71428571428572
2020-08-07,88580,4681,81788,1596758400000000000,120.0,132.14285714285714
2020-08-08,88672,4681,81969,1596844800000000000,92.0,120.71428571428571
2020-08-09,88793,4686,82125,1596931200000000000,121.0,115.42857142857143
2020-08-10,88906,4689,82247,1597017600000000000,113.0,115.28571428571429
2020-08-11,88958,4693,82440,1597104000000000000,52.0,107.42857142857143
2020-08-12,89045,4697,82633,1597190400000000000,87.0,102.42857142857143
2020-08-13,89144,4700,82804,1597276800000000000,99.0,97.71428571428571
2020-08-14,89214,4701,82956,1597363200000000000,70.0,90.57142857142857
2020-08-15,89279,4703,83108,1597449600000000000,65.0,86.71428571428571
2020-08-16,89375,4703,83200,1597536000000000000,96.0,83.14285714285714
