date,confirmed,deaths,recovered,ts_in_secs,new_confirmed,new_confirmed_rolling
2020-01-22,2,0,0,1579651200000000000,0.0,0.0
2020-01-23,2,0,0,1579737600000000000,0.0,0.0
2020-01-24,2,0,0,1579824000000000000,0.0,0.0
2020-01-25,2,0,0,1579910400000000000,0.0,0.0
2020-01-26,4,0,1,1579996800000000000,2.0,0.0
2020-01-27,4,0,1,1580083200000000000,0.0,0.0
2020-01-28,7,0,1,1580169600000000000,3.0,0.7142857142857143
2020-01-29,7,0,1,1580256000000000000,0.0,0.7142857142857143
2020-01-30,11,0,1,1580342400000000000,4.0,1.2857142857142858
2020-01-31,15,0,1,1580428800000000000,4.0,1.8571428571428572
2020-02-01,20,0,1,1580515200000000000,5.0,2.5714285714285716
2020-02-02,20,0,1,1580601600000000000,0.0,2.2857142857142856
2020-02-03,20,0,1,1580688000000000000,0.0,2.2857142857142856
2020-02-04,22,0,1,1580774400000000000,2.0,2.142857142857143
2020-02-05,23,0,1,1580860800000000000,1.0,2.2857142857142856
2020-02-06,23,0,1,1580947200000000000,0.0,1.7142857142857142
2020-02-07,23,0,1,1581033600000000000,0.0,1.1428571428571428
2020-02-08,24,0,1,1581120000000000000,1.0,0.5714285714285714
2020-02-09,24,0,1,1581206400000000000,0.0,0.5714285714285714
2020-02-10,26,0,4,1581292800000000000,2.0,0.8571428571428571
2020-02-11,27,0,9,1581379200000000000,1.0,0.7142857142857143
2020-02-12,28,0,9,1581465600000000000,1.0,0.7142857142857143
2020-02-13,33,1,9,1581552000000000000,5.0,1.4285714285714286
2020-02-14,43,1,9,1581638400000000000,10.0,2.857142857142857
2020-02-15,54,1,12,1581724800000000000,11.0,4.285714285714286
2020-02-16,60,1,12,1581811200000000000,6.0,5.142857142857143
2020-02-17,67,1,12,1581897600000000000,7.0,5.857142857142857
2020-02-18,79,2,13,1581984000000000000,12.0,7.428571428571429
2020-02-19,85,2,18,1582070400000000000,6.0,8.142857142857142
2020-02-20,95,2,18,1582156800000000000,10.0,8.857142857142858
2020-02-21,112,2,22,1582243200000000000,17.0,9.857142857142858
2020-02-22,137,2,22,1582329600000000000,25.0,11.857142857142858
2020-02-23,149,2,22,1582416000000000000,12.0,12.714285714285714
2020-02-24,160,2,22,1582502400000000000,11.0,13.285714285714286
2020-02-25,173,3,22,1582588800000000000,13.0,13.428571428571429
2020-02-26,192,3,22,1582675200000000000,19.0,15.285714285714286
2020-02-27,218,4,22,1582761600000000000,26.0,17.571428571428573
2020-02-28,236,5,22,1582848000000000000,18.0,17.714285714285715
2020-02-29,245,6,32,1582934400000000000,9.0,15.428571428571429
2020-03-01,259,6,32,1583020800000000000,14.0,15.714285714285714
2020-03-02,278,6,32,1583107200000000000,19.0,16.857142857142858
2020-03-03,298,6,43,1583193600000000000,20.0,17.857142857142858
2020-03-04,333,7,43,1583280000000000000,35.0,20.142857142857142
