,open,high,low,last,close,volume,date,symbol,exchange
0,28.05,28.06,27.82,27.95,28.75,16601.0,2020-11-30T20:00:00+0000,HMC,IEXG
1,4.435,4.435,4.32,4.325,4.49,8632.0,2020-11-30T19:00:00+0000,MUFG,IEXG
2,93.61,93.98,92.76,93.625,94.07,16927.0,2020-11-30T19:00:00+0000,SNE,IEXG
3,28.05,28.06,27.82,27.905,28.75,10040.0,2020-11-30T18:00:00+0000,HMC,IEXG
4,135.87,135.87,134.655,135.11,140.16,5920.0,2020-11-30T18:00:00+0000,TM,IEXG
5,93.61,93.98,92.76,93.14,94.07,10166.0,2020-11-30T17:00:00+0000,SNE,IEXG
6,5.905,5.905,5.825,5.835,6.03,12363.0,2020-11-30T16:00:00+0000,SMFG,IEXG
7,93.61,93.98,92.76,93.04,94.07,6925.0,2020-11-30T16:00:00+0000,SNE,IEXG
8,18.12,18.12,17.955,17.965,18.59,2485.0,2020-11-30T15:00:00+0000,CAJ,IEXG
9,4.435,4.435,4.375,4.39,4.49,1170.0,2020-11-30T15:00:00+0000,MUFG,IEXG
10,93.61,93.98,93.49,93.93,94.07,2983.0,2020-11-30T15:00:00+0000,SNE,IEXG
11,135.87,135.87,135.2,135.5,140.16,1279.0,2020-11-30T15:00:00+0000,TM,IEXG
12,2.65,2.65,2.65,2.65,2.67,1000.0,2020-11-30T14:00:00+0000,MFG,IEXG
13,31.9662,31.9662,31.9662,31.9662,31.9662,0.0,2020-11-28T02:00:00+0000,TYHOF,IEXG
14,18.59,18.6502,18.565,18.59,18.85,204594.0,2020-11-28T02:00:00+0000,CAJ,IEXG
15,12.9,12.9,12.9,12.9,12.9,0.0,2020-11-28T02:00:00+0000,CHUEF,IEXG
16,83.39,85.45,83.39,85.16,80.84,30890.0,2020-11-28T02:00:00+0000,TOELY,IEXG
17,28.8,29.015,28.72,28.75,29.35,458316.0,2020-11-28T02:00:00+0000,HMC,IEXG
18,79.0215,79.06,78.69,78.75,76.51,14065.0,2020-11-28T02:00:00+0000,HTHIY,IEXG
